% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:51
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(p)
0                         -0.03973196822506134
4.0816326530612243E-7     -0.03976135122039763
8.163265306122445E-7      -0.03979256211156734
1.224489795918367E-6      -0.03982560089857041
1.632653061224489E-6      -0.039860467581406905
2.0408163265306117E-6     -0.03989716216007679
2.448979591836734E-6      -0.039935684634580054
2.857142857142856E-6      -0.03997603500491673
3.265306122448978E-6      -0.04003711922094273
3.6734693877551007E-6     -0.040107775164193796
4.0816326530612225E-6     -0.0401880028346699
4.489795918367345E-6      -0.04027780223237108
4.897959183673468E-6      -0.040377173357297305
5.30612244897959E-6       -0.04048611620944859
5.714285714285712E-6      -0.040604630788824925
6.1224489795918346E-6     -0.04072656559266573
6.530612244897958E-6      -0.040861679299602244
6.9387755102040806E-6     -0.04100997190963445
7.3469387755102015E-6     -0.04117144342276237
7.755102040816326E-6      -0.041346093838986006
8.163265306122448E-6      -0.041533923158305334
8.571428571428571E-6      -0.04173493138072038
8.979591836734694E-6      -0.04194425129251987
9.387755102040816E-6      -0.042169016889121225
9.795918367346939E-6      -0.042409228170524435
1.020408163265306E-5      -0.04266488513672951
1.0612244897959184E-5     -0.04293598778773645
1.1020408163265308E-5     -0.04322253612354525
1.1428571428571429E-5     -0.0435245301441559
1.1836734693877552E-5     -0.043873019596512366
1.2244897959183674E-5     -0.04423315740463253
1.2653061224489795E-5     -0.04460494356851637
1.3061224489795918E-5     -0.0449883780881639
1.346938775510204E-5      -0.04538346096357514
1.3877551020408165E-5     -0.04579019219475005
1.4285714285714285E-5     -0.04620857178168866
1.4693877551020408E-5     -0.046665957711753955
1.510204081632653E-5      -0.047126090814102045
1.5510204081632655E-5     -0.04758897108873288
1.5918367346938776E-5     -0.0480545985356465
1.63265306122449E-5       -0.04852297315484291
1.6734693877551024E-5     -0.04899409494632209
1.7142857142857145E-5     -0.049467963910084047
1.755102040816327E-5      -0.04993182000220777
1.795918367346939E-5      -0.0503830294431767
1.8367346938775515E-5     -0.0508215922329908
1.8775510204081636E-5     -0.051247508371650104
1.9183673469387756E-5     -0.05166077785915461
1.959183673469388E-5      -0.052061400695504294
2.0E-5                    -0.05244937688069917
2.042553191489362E-5      -0.05286034912919299
2.0851063829787234E-5     -0.053291055780535994
2.1276595744680852E-5     -0.05374149683472819
2.1702127659574467E-5     -0.05421167229176956
2.212765957446808E-5      -0.05470158215166014
2.2553191489361703E-5     -0.05521122641439989
2.2978723404255317E-5     -0.05574060507998884
2.3404255319148935E-5     -0.05624815093913717
2.382978723404255E-5      -0.056746287675995356
2.4255319148936165E-5     -0.05723501529056341
2.4680851063829783E-5     -0.057714333782841326
2.51063829787234E-5       -0.05818424315282913
2.5531914893617015E-5     -0.05864474340052677
2.5957446808510633E-5     -0.059095834525934296
2.638297872340425E-5      -0.05953274989487889
2.6808510638297866E-5     -0.05995864238778002
2.7234042553191484E-5     -0.060373512004637676
2.7659574468085102E-5     -0.06077735874545189
