% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 12:30
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(xi)
0                         -1.954672330639842E-10
1.6835192320072636E-7     -1.9546716258060968E-10
3.367038464014527E-7      -1.9546695113104862E-10
5.050557696021791E-7      -1.9546659871530098E-10
6.734076928029054E-7      -1.9546610533336683E-10
8.417596160036319E-7      -1.9546547098524615E-10
1.0101115392043582E-6     -1.9546469567093896E-10
1.1801802473622774E-6     -1.9546376931997788E-10
1.3502489555201964E-6     -1.9546269911546072E-10
1.5203176636781154E-6     -1.9546148505738753E-10
1.6903863718360344E-6     -1.9546012714575826E-10
1.8604550799939534E-6     -1.9545862538057297E-10
2.0305237881518723E-6     -1.9545697976183162E-10
2.200592664946635E-6      -1.9545519028918027E-10
2.370661541741397E-6      -1.9545325696750524E-10
2.5407304185361593E-6     -1.954511797968065E-10
2.710799295330922E-6      -1.954489587770841E-10
2.880868172125684E-6      -1.9544659390833807E-10
3.0509370489204466E-6     -1.9544408519056832E-10
3.2210059257152087E-6     -1.9544143262714332E-10
3.3910748025099717E-6     -1.9543863622190517E-10
3.5611436793047335E-6     -1.9543569597485396E-10
3.731212556099496E-6      -1.954326118859896E-10
3.901281432894258E-6      -1.9542938395531216E-10
4.07135030968902E-6       -1.954260121828216E-10
4.2414191864837825E-6     -1.9542249657299975E-10
4.411488063278545E-6      -1.954188371306775E-10
4.581556940073307E-6      -1.954150338558548E-10
4.751625816868069E-6      -1.9541108674853168E-10
4.921694693662831E-6      -1.9540699580870812E-10
5.091763570457593E-6      -1.954027610363841E-10
5.261832447252356E-6      -1.9539838243724705E-10
5.4319013240471185E-6     -1.9539386001723006E-10
5.601970200841881E-6      -1.9538919377633307E-10
5.772039077636643E-6      -1.9538438371455613E-10
5.942107954431407E-6      -1.9537942983189921E-10
6.112176831226169E-6      -1.9537433212836234E-10
6.282245708020931E-6      -1.9536909061080435E-10
6.452314584815693E-6      -1.9536370528634963E-10
6.622383461610455E-6      -1.9535817615499815E-10
6.7924523384052175E-6     -1.9535250321675E-10
6.96252121519998E-6       -1.953466864716051E-10
7.132590091994742E-6      -1.953407259195635E-10
7.302658968789505E-6      -1.9533462156866779E-10
7.472727845584267E-6      -1.9532837342723074E-10
7.642796722379028E-6      -1.953219814952524E-10
7.812865599173792E-6      -1.9531544577273275E-10
7.982934475968554E-6      -1.953087662596718E-10
8.153003352763316E-6      -1.9530194295606953E-10
8.323072229558079E-6      -1.9529497587115262E-10
8.493141106352842E-6      -1.9528786501440784E-10
8.663209983147605E-6      -1.9528061038583514E-10
8.833278859942367E-6      -1.9527321198543455E-10
9.003347736737129E-6      -1.952656698132061E-10
9.173416613531891E-6      -1.9525798386914973E-10
9.343485490326653E-6      -1.9525015416367027E-10
9.513554367121415E-6      -1.9524218070742893E-10
9.683623243916178E-6      -1.9523406350042561E-10
9.853692120710938E-6      -1.9522580254266042E-10
1.00237609975057E-5       -1.9521739783413326E-10
1.0193829874300462E-5     -1.9520884937484423E-10
1.0363898751095225E-5     -1.952001571763758E-10
1.0533967627889988E-5     -1.9519132125056315E-10
1.070403650468475E-5      -1.9518234159740627E-10
1.0874105381479513E-5     -1.9517321821690513E-10
1.1044174258274277E-5     -1.9516395110905982E-10
1.1214243135069039E-5     -1.9515454027387028E-10
1.1384312011863803E-5     -1.95144985724097E-10
1.1554380888658565E-5     -1.9513528747274684E-10
1.1724449765453327E-5     -1.9512544551981976E-10
1.1894518642248089E-5     -1.9511545986531583E-10
1.2064587519042851E-5     -1.95105330509235E-10
1.2234656395837613E-5     -1.950950574515773E-10
1.2404725272632376E-5     -1.9508464070627793E-10
1.257479414942714E-5      -1.9507408028751362E-10
1.27448630262219E-5       -1.950633761952843E-10
1.2914931903016664E-5     -1.9505252842959007E-10
1.3085000779811424E-5     -1.9504153699043092E-10
1.3255069656606186E-5     -1.9503040187780682E-10
1.3425138533400948E-5     -1.9501912310682136E-10
1.3595207410195712E-5     -1.95007700692822E-10
1.3765276286990473E-5     -1.949961346358087E-10
1.3935345163785237E-5     -1.9498442493578152E-10
1.4105414040579997E-5     -1.9497257159274043E-10
1.427548291737476E-5      -1.949605746066854E-10
1.4445551794169521E-5     -1.949484339938828E-10
1.4615620670964285E-5     -1.9493614977085157E-10
1.4785689547759046E-5     -1.9492372193759183E-10
1.495575842455381E-5      -1.9491115049410355E-10
1.5125827301348572E-5     -1.9489843544038677E-10
1.5295896178143334E-5     -1.9488557677644145E-10
1.5465965054938098E-5     -1.948725745196917E-10
1.5636033931732858E-5     -1.9485942868782854E-10
1.580610280852762E-5      -1.9484613928085197E-10
1.5976171685322383E-5     -1.9483270629876196E-10
1.6146240562117146E-5     -1.9481912974155862E-10
1.6316309438911907E-5     -1.9480540960924184E-10
1.648637831570667E-5      -1.9479154592039034E-10
1.665644719250143E-5      -1.9477753869386594E-10
1.6826516069296195E-5     -1.9476338792966868E-10
1.6996584946090956E-5     -1.9474909362779854E-10
1.716665382288572E-5      -1.9473465578825558E-10
1.733672269968048E-5      -1.947200744110397E-10
