% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:43
% Dimension:          1
% Nodes:              555
% Expressions:        2
% Description:        Global
% f (Hz)                  ,                        , 
1389952.6312133525        1.4616544774383654E-12   2.0122689599801774E-14
1393156.8029453035        1.44782465338468E-12     1.9922354253942016E-14
1396368.3610559362        1.4341161342743193E-12   1.9785387911100517E-14
1399587.3225726178        1.4205006665005454E-12   1.971064492395153E-14
1402813.704561959         1.4069499837971197E-12   1.9697981702836937E-14
1406047.524129913         1.39343536913518E-12     1.9748276093618938E-14
1409288.7984218749        1.3799271887044818E-12   1.9863482033673576E-14
1412537.5446227554        1.3663943812661572E-12   2.0046724185317857E-14
1415793.779957081         1.3528038830557426E-12   2.0302439840604654E-14
1419057.5216890925        1.3391199639168813E-12   2.0636578819016668E-14
1422328.7871228184        1.3253034439995424E-12   2.105687673986333E-14
1425607.593602188         1.31131075148356E-12     2.1573223538798994E-14
1428893.9585111036        1.2970927693855349E-12   2.2198158327501032E-14
1432187.8992735425        1.2825934020777131E-12   2.294753507738993E-14
1435489.433353656         1.2677477674867674E-12   2.3841423370255436E-14
1438798.5782558466        1.252479885654673E-12    2.490533817820055E-14
1442115.351524868         1.236699683296322E-12    2.617193817189458E-14
1445439.770745928         1.2202990591561042E-12   2.7683403223702154E-14
1448771.8535447603        1.203146643725471E-12    2.949481538175707E-14
1452111.617587742         1.1850807190818217E-12   3.167905318137595E-14
1455459.0805819668        1.1658995076424122E-12   3.433402007783563E-14
1458814.2602753474        1.1453476392004135E-12   3.7593563325842856E-14
1462177.1744567184        1.1230969762310812E-12   4.164439084999705E-14
1465547.8409559128        1.098718975428418E-12    4.675304188169177E-14
1468926.2776438661        1.0716441639609573E-12   5.331030497594851E-14
1472312.5024327193        1.0411017949267671E-12   6.190712738664673E-14
1475706.5332758932        1.0060290357464712E-12   7.346995749112225E-14
1479108.3881682071        9.649347009649897E-13    8.95140889888956E-14
1482518.0851459545        9.15702926855119E-13     1.126451045592656E-13
