% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:53
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
0                         1.6103274647811544E-13
4.2780521530280657E-7     1.6103840959739277E-13
8.556104306056131E-7      1.6105429787049073E-13
1.2834156459084197E-6     1.6108041129740934E-13
1.7112208612112263E-6     1.6111674987814857E-13
2.139026076514033E-6      1.6116331361270849E-13
2.5668312918168394E-6     1.6122010250108898E-13
2.994636507119646E-6      1.6128711654329015E-13
3.4224417224224526E-6     1.61363136369594E-13
3.85024693772526E-6       1.61448469586072E-13
4.278052153028066E-6      1.6154311619272405E-13
4.705857368330872E-6      1.616470761895502E-13
5.133662583633679E-6      1.6176034957655058E-13
5.561467798936486E-6      1.6188293635372494E-13
5.989273014239292E-6      1.6201483652107347E-13
6.410088963256641E-6      1.6215319867836165E-13
6.830904912273991E-6      1.6230013451411998E-13
7.25172086129134E-6       1.6245564402834838E-13
7.672536810308689E-6      1.6261972722104688E-13
8.09335275932604E-6       1.6279238409221555E-13
8.514168708343389E-6      1.629736146418543E-13
8.934984657360738E-6      1.631634188699632E-13
9.335662524497946E-6      1.6335175700360805E-13
9.736340391635153E-6      1.6354802819226317E-13
1.0137018258772359E-5     1.6375223243592854E-13
1.0537696125909567E-5     1.6396436973460407E-13
1.0938373993046773E-5     1.6418444008828994E-13
1.1339051860183981E-5     1.6441244349698598E-13
1.1739729727321188E-5     1.6464837996069228E-13
1.2124875559851212E-5     1.6488311344242827E-13
1.2510021392381236E-5     1.6512587623119313E-13
1.289516722491126E-5      1.6537666832698683E-13
1.3280313057441285E-5     1.656354897298094E-13
1.366545888997131E-5      1.659023404396608E-13
1.4050604722501333E-5     1.6617722045654102E-13
1.4435750555031359E-5     1.6646012978045013E-13
1.481289903671961E-5      1.667462749916413E-13
1.519004751840786E-5      1.670400456830397E-13
1.5567196000096113E-5     1.6734144185464538E-13
1.5944344481784364E-5     1.676504635064583E-13
1.6321492963472616E-5     1.6796711063847851E-13
1.6698641445160864E-5     1.6829138325070592E-13
1.7075789926849116E-5     1.6862328134314064E-13
1.7433901167700504E-5     1.6894791940392705E-13
1.779201240855189E-5      1.6927363675600064E-13
1.8150123649403275E-5     1.6960043339936135E-13
1.850823489025466E-5      1.699283093340092E-13
1.886634613110605E-5      1.7025726455994424E-13
1.9224457371957433E-5     1.7058729907716637E-13
1.958256861280882E-5      1.7091841288567565E-13
1.9940481295372828E-5     1.7124388942439854E-13
2.0298393977936837E-5     1.715534241931561E-13
2.0656306660500846E-5     1.7184701719194833E-13
2.1014219343064855E-5     1.7212466842077515E-13
2.137213202562886E-5      1.723863778796367E-13
2.173004470819287E-5      1.7263214556853287E-13
2.208795739075688E-5      1.728619714874637E-13
2.245944263531065E-5      1.7307254807152347E-13
2.283092787986442E-5      1.7325105598322637E-13
2.3202413124418192E-5     1.7339749522257242E-13
2.3573898368971962E-5     1.735118657895616E-13
2.3945383613525733E-5     1.7359416768419402E-13
2.4316868858079504E-5     1.736444009064695E-13
