% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 26 2025, 17:21
% Dimension:          1
% Nodes:              784
% Expressions:        2
% Description:        Global
% freq (Hz)               Re xi all, Im xi all     Re xi all, Im xi all
10                        -4.57131530617168E-11    1.6948318754361159E-15
20                        -4.5713132082235784E-11  3.3894486387561377E-15
50                        -4.5712988406482455E-11  8.469861623822729E-15
100                       -4.571247443971833E-11   1.6912940173073856E-14
200                       -4.571044004944544E-11   3.361389014879767E-14
500                       -4.569707702718285E-11   8.056168768612872E-14
1000                      -4.565907535444319E-11   1.4153089314378315E-13
1258.9254117941675        -4.563676883420935E-11   1.6383805511646353E-13
1584.893192461114         -4.560969341813755E-11   1.8450869582087829E-13
1995.2623149688789        -4.5579560597785454E-11  2.0198765628268907E-13
2511.88643150958          -4.5549112910729446E-11  2.1571280398844602E-13
3162.2776601683795        -4.552161493581691E-11   2.2652074517840387E-13
3981.0717055349733        -4.550005701040105E-11   2.3646332592483466E-13
5011.872336272725         -4.5487124883899654E-11  2.4823173551157603E-13
6309.57344480193          -4.5485607400125467E-11  2.645855579031744E-13
7943.282347242814         -4.5497987021156914E-11  2.880518130984341E-13
10000                     -4.553308356741532E-11   3.210602504058933E-13
12589.254117941662        -4.560088622884389E-11   3.6624129895778737E-13
15848.93192461114         -4.571983122906767E-11   4.2710726262555906E-13
19952.62314968879         -4.5919923399986826E-11  5.088800574454856E-13
25118.864315095823        -4.625019558035373E-11   6.197197321101541E-13
31622.776601683792        -4.679224773537302E-11   7.73022463443901E-13
39810.71705534969         -4.7685588975183695E-11  9.925015217032147E-13
50118.72336272725         -4.917963494998781E-11   1.3245028631285423E-12
63095.7344480193          -5.175131191084672E-11   1.871287794571795E-12
79432.82347242821         -5.641493856392484E-11   2.8976492285736834E-12
100000                    -6.572563238327456E-11   5.2729646138022376E-12
102329.29922807537        -6.712930417984048E-11   5.6755876226522715E-12
104712.85480508985        -6.866130715761458E-11   6.12912989259814E-12
107151.9305237607         -7.033792798941087E-11   6.642617111036095E-12
109647.8196143185         -7.217823033436516E-11   7.227153150917567E-12
112201.84543019629        -7.420465534406728E-11   7.896517821111576E-12
114815.36214968817        -7.644377499162251E-11   8.667973076323424E-12
117489.75549395304        -7.892725148731345E-11   9.563366412165202E-12
120226.4434617413         -8.169305188299399E-11   1.0610658921681398E-11
123026.87708123811        -8.478701214345623E-11   1.1846078645015894E-11
125892.54117941661        -8.826482699380265E-11   1.3317197561772926E-11
128824.95516931349        -9.219460989171727E-11   1.508741649321763E-11
131825.67385564075        -9.666013242674518E-11   1.7242620935921708E-11
134896.28825916533        -1.0176485588391085E-10  1.9901273461002162E-11
138038.42646028838        -1.076366935562593E-10   2.3230057161482048E-11
141253.75446227554        -1.1443301929266023E-10  2.7468719954084087E-11
144543.9770745928         -1.2234410693151085E-10  3.297049618124265E-11
147910.83881682073        -1.3158980142907248E-10  4.0269492566868784E-11
151356.12484362072        -1.4239494609545608E-10  5.019529387100676E-11
154881.66189124828        -1.549041528585628E-10   6.406954939892585E-11
158489.3192461114         -1.689281696147185E-10   8.40350714218534E-11
162181.009735893          -1.8323103903620392E-10  1.1354057849030911E-10
165958.69074375596        -1.9363504500148897E-10  1.5768515874813891E-10
169824.3652461746         -1.8873677949177955E-10  2.2148344258742203E-10
170000.00000000006        -1.8782804115988712E-10  2.2480958048344994E-10
170195.83244148866        -1.867219883185383E-10   2.2855271973270263E-10
170391.89047324314        -1.8551322526428072E-10  2.3233424598601604E-10
170588.17435513277        -1.8419785646065823E-10  2.3615161112105337E-10
170784.68434732716        -1.8277197775983591E-10  2.400019888391212E-10
170981.42071029573        -1.81231694933661E-10    2.43882259801098E-10
171178.38370480682        -1.7957312357102775E-10  2.477890599630418E-10
171375.57359193027        -1.7779243214043058E-10  2.5171868124885847E-10
171572.99063303624        -1.7588584143909166E-10  2.5566713456584197E-10
171770.63508979641        -1.738496618040107E-10   2.596300940274316E-10
171968.50722418277        -1.7168029945844582E-10  2.636029359901163E-10
172166.6072984702         -1.6937429946737763E-10  2.675806862957883E-10
172364.93557523566        -1.6692836522209625E-10  2.715580383969413E-10
172563.49231735757        -1.643393794132063E-10   2.755293637456801E-10
172762.2777880182         -1.616044443509383E-10   2.794886906064661E-10
172961.29225070303        -1.5872091055054744E-10  2.8342971238544664E-10
173160.53596919996        -1.5568639265134088E-10  2.873458192616523E-10
173360.00920760186        -1.5249884284584918E-10  2.9123003980478254E-10
173559.7122303058         -1.491565301373268E-10   2.9507514083934657E-10
173759.6453020124         -1.4565812141125493E-10  2.988735669599995E-10
173959.8086877282         -1.4200267991079852E-10  3.0261751278348433E-10
174160.20265276506        -1.3818972000009604E-10  3.0629891176706404E-10
174360.82746273943        -1.3421924092245132E-10  3.099094656622983E-10
174561.6833835747         -1.300917325501273E-10   3.1344070158518723E-10
174762.7706815004         -1.2580823600847012E-10  3.1688397108428055E-10
174964.08962305295        -1.2137035648400976E-10  3.2023050470880793E-10
175165.64047507476        -1.1678027979526503E-10  3.2347145969537255E-10
175367.42350471683        -1.1204079913119052E-10  3.265979594575014E-10
175569.43897943772        -1.0715535080619067E-10  3.2960112627602114E-10
175771.6871670032         -1.0212800216277587E-10  3.324721552995673E-10
175974.1683354884         -9.696346458677525E-11   3.3520236270454503E-10
176176.88275327737        -9.166710719551211E-11   3.377832345567079E-10
176379.83068906222        -8.62449479988455E-11    3.402064895643105E-10
176583.01241184567        -8.070364765599063E-11   3.42464136788231E-10
176786.4281909403         -7.505048301938542E-11   3.4454853975098614E-10
176990.0782959678         -6.929334086210249E-11   3.46452467929841E-10
