% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:32
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(p)
0                         0.20616915662461294
4.0816326530612243E-7     0.20651473531923567
8.163265306122445E-7      0.20684669557618887
1.224489795918367E-6      0.20716503739547243
1.632653061224489E-6      0.20746976077708643
2.0408163265306117E-6     0.2077608657210309
2.448979591836734E-6      0.2080383522273057
2.857142857142856E-6      0.20830222029591097
3.265306122448978E-6      0.20888518153529867
3.6734693877551007E-6     0.20952390334843374
4.0816326530612225E-6     0.2102183857353161
4.489795918367345E-6      0.21096862869594585
4.897959183673468E-6      0.2117746322303229
5.30612244897959E-6       0.2126363963384473
5.714285714285712E-6      0.2135539210203191
6.1224489795918346E-6     0.21455436534273256
6.530612244897958E-6      0.21563871435999632
6.9387755102040806E-6     0.21680696807211025
7.3469387755102015E-6     0.21805912647907447
7.755102040816326E-6      0.2193951895808889
8.163265306122448E-6      0.22081515737755358
8.571428571428571E-6      0.22231902986906849
8.979591836734694E-6      0.22390413377997362
9.387755102040816E-6      0.22557841167117382
9.795918367346939E-6      0.22734186354266894
1.020408163265306E-5      0.22919448939445913
1.0612244897959184E-5     0.23113628922654433
1.1020408163265308E-5     0.2331672630389245
1.1428571428571429E-5     0.23528741083159965
1.1836734693877552E-5     0.23754655116137008
1.2244897959183674E-5     0.23991928930639006
1.2653061224489795E-5     0.24240562526665946
1.3061224489795918E-5     0.2450055590421784
1.346938775510204E-5      0.2477190906329469
1.3877551020408165E-5     0.2505462200389649
1.4285714285714285E-5     0.2534869472602323
1.4693877551020408E-5     0.25662463833843435
1.510204081632653E-5      0.2599083059312211
1.5510204081632655E-5     0.2633379500385924
1.5918367346938776E-5     0.26691357066054844
1.63265306122449E-5       0.27063516779708907
1.6734693877551024E-5     0.2745027414482143
1.7142857142857145E-5     0.2785162916139242
1.755102040816327E-5      0.28280460957582687
1.795918367346939E-5      0.28718726734108635
1.8367346938775515E-5     0.2916642649097024
1.8775510204081636E-5     0.2962356022816751
1.9183673469387756E-5     0.30090127945700457
1.959183673469388E-5      0.3056612964356907
2.0E-5                    0.31051565321773344
2.042553191489362E-5      0.31555773297654727
2.0851063829787234E-5     0.3205485752314254
2.1276595744680852E-5     0.3254881799823678
2.1702127659574467E-5     0.3303765472293746
2.212765957446808E-5      0.33521367697244575
2.2553191489361703E-5     0.33999956921158114
