% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:50
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
0                         -4.265767851187073E-13
4.0816326530612243E-7     -4.2656815230392546E-13
8.163265306122445E-7      -4.2654233209779263E-13
1.224489795918367E-6      -4.264993245003084E-13
1.632653061224489E-6      -4.264391295114733E-13
2.0408163265306117E-6     -4.26361747131287E-13
2.448979591836734E-6      -4.2626717735974953E-13
2.857142857142856E-6      -4.2615542019686107E-13
3.265306122448978E-6      -4.2602648231238924E-13
3.6734693877551007E-6     -4.258804342796469E-13
4.0816326530612225E-6     -4.2571727609863365E-13
4.489795918367345E-6      -4.2553700776934995E-13
4.897959183673468E-6      -4.253396292917955E-13
5.30612244897959E-6       -4.251251406659704E-13
5.714285714285712E-6      -4.2489354189187466E-13
6.1224489795918346E-6     -4.2464488101344117E-13
6.530612244897958E-6      -4.2437926532527116E-13
6.9387755102040806E-6     -4.2409669482736427E-13
7.3469387755102015E-6     -4.2379716951972095E-13
7.755102040816326E-6      -4.2348068940234095E-13
8.163265306122448E-6      -4.231472544752243E-13
8.571428571428571E-6      -4.2279686473837096E-13
8.979591836734694E-6      -4.224296005355735E-13
9.387755102040816E-6      -4.220456146982061E-13
9.795918367346939E-6      -4.216449072262685E-13
1.020408163265306E-5      -4.2122747811976103E-13
1.0612244897959184E-5     -4.207933273786836E-13
1.1020408163265308E-5     -4.2034245500303604E-13
1.1428571428571429E-5     -4.198748609928185E-13
1.1836734693877552E-5     -4.1939065351653963E-13
1.2244897959183674E-5     -4.188900299502685E-13
1.2653061224489795E-5     -4.1837299029400494E-13
1.3061224489795918E-5     -4.1783953454774913E-13
1.346938775510204E-5      -4.1728966271150094E-13
1.3877551020408165E-5     -4.167233747852604E-13
1.4285714285714285E-5     -4.1614067076902753E-13
1.4693877551020408E-5     -4.1554170297839843E-13
1.510204081632653E-5      -4.149266938097278E-13
1.5510204081632655E-5     -4.1429564326301546E-13
1.5918367346938776E-5     -4.136485513382618E-13
1.63265306122449E-5       -4.129854180354665E-13
1.6734693877551024E-5     -4.123062433546297E-13
1.7142857142857145E-5     -4.116110272957513E-13
1.755102040816327E-5      -4.108999666448172E-13
1.795918367346939E-5      -4.1017330866955635E-13
1.8367346938775515E-5     -4.094310533699686E-13
1.8775510204081636E-5     -4.086732007460542E-13
1.9183673469387756E-5     -4.0789975079781304E-13
1.959183673469388E-5      -4.0711070352524507E-13
2.0E-5                    -4.0630605892835035E-13
2.042553191489362E-5      -4.0545070258389747E-13
2.0851063829787234E-5     -4.0457897124103865E-13
2.1276595744680852E-5     -4.0369086489977396E-13
2.1702127659574467E-5     -4.027863835601034E-13
2.212765957446808E-5      -4.01865527222027E-13
2.2553191489361703E-5     -4.009282958855446E-13
2.2978723404255317E-5     -3.9997468955065636E-13
2.3404255319148935E-5     -3.9900484597440124E-13
2.382978723404255E-5      -3.9801923671218606E-13
2.4255319148936165E-5     -3.970178617640109E-13
2.4680851063829783E-5     -3.9600072112987576E-13
2.51063829787234E-5       -3.949678148097807E-13
2.5531914893617015E-5     -3.939191428037255E-13
2.5957446808510633E-5     -3.9285470511171045E-13
2.638297872340425E-5      -3.91774727187758E-13
2.6808510638297866E-5     -3.9067962723526254E-13
2.7234042553191484E-5     -3.8956940525422417E-13
2.7659574468085102E-5     -3.8844406124464283E-13
2.808510638297872E-5      -3.873035952065186E-13
2.8510638297872334E-5     -3.8614800713985124E-13
2.8936170212765952E-5     -3.849772970446411E-13
2.936170212765957E-5      -3.8379173980436743E-13
2.9787234042553185E-5     -3.82591736527618E-13
3.02127659574468E-5       -3.8137728721439266E-13
3.063829787234042E-5      -3.801483918646915E-13
3.106382978723404E-5      -3.789050504785145E-13
3.148936170212765E-5      -3.776472630558615E-13
3.191489361702127E-5      -3.7637502959673275E-13
3.2340425531914886E-5     -3.7508864877347785E-13
3.2765957446808504E-5     -3.737885174652355E-13
3.319148936170212E-5      -3.7247463567200565E-13
3.361702127659574E-5      -3.7114700339378834E-13
3.404255319148936E-5      -3.698056206305837E-13
3.4468085106382976E-5     -3.6845048738239156E-13
3.4893617021276594E-5     -3.67081603649212E-13
3.531914893617021E-5      -3.656992832738046E-13
3.574468085106383E-5      -3.6430392007222126E-13
3.617021276595744E-5      -3.6289551404446185E-13
3.659574468085106E-5      -3.6147406519052636E-13
3.702127659574468E-5      -3.6003957351041504E-13
3.744680851063829E-5      -3.5859203900412753E-13
3.7872340425531907E-5     -3.5713146167166404E-13
3.8297872340425525E-5     -3.5565816587948564E-13
3.8723404255319136E-5     -3.5417254150132566E-13
3.914893617021275E-5      -3.52674588537184E-13
3.957446808510637E-5      -3.511643069870607E-13
3.999999999999998E-5      -3.496416968509559E-13
4.04255319148936E-5       -3.4810675812886923E-13
4.085106382978722E-5      -3.4655949082080113E-13
4.127659574468084E-5      -3.4500022643546035E-13
4.1702127659574455E-5     -3.434293498911277E-13
4.2127659574468066E-5     -3.4184686118780323E-13
4.255319148936169E-5      -3.4025276032548683E-13
4.29787234042553E-5       -3.386470473041787E-13
4.340425531914893E-5      -3.3702972212387854E-13
4.382978723404254E-5      -3.354007847845866E-13
4.4255319148936156E-5     -3.3376057121289494E-13
4.4680851063829774E-5     -3.321094605696251E-13
4.5106382978723385E-5     -3.3044745285477686E-13
4.5531914893616997E-5     -3.2877454806835053E-13
4.5957446808510615E-5     -3.2709074621034604E-13
4.638297872340423E-5      -3.2539604728076324E-13
4.680851063829785E-5      -3.2369045127960223E-13
4.7234042553191475E-5     -3.219742963150716E-13
4.765957446808508E-5      -3.202479552357642E-13
4.8085106382978704E-5     -3.1851142804168E-13
4.851063829787232E-5      -3.167647147328191E-13
4.893617021276594E-5      -3.150078153091815E-13
4.936170212765956E-5      -3.13240729770767E-13
4.9787234042553176E-5     -3.114634581175758E-13
5.02127659574468E-5       -3.0967633881710726E-13
5.0638297872340406E-5     -3.0787973808183346E-13
5.1063829787234024E-5     -3.0607365591175423E-13
5.148936170212764E-5      -3.042580923068696E-13
5.191489361702126E-5      -3.0243304726717973E-13
5.234042553191487E-5      -3.0059852079268436E-13
5.276595744680849E-5      -2.9875451288338367E-13
5.319148936170211E-5      -2.9690136090470136E-13
5.3617021276595725E-5     -2.950394243198738E-13
5.404255319148934E-5      -2.93168703128901E-13
5.446808510638296E-5      -2.91289197331783E-13
5.489361702127658E-5      -2.8940090692851987E-13
5.53191489361702E-5       -2.875038319191114E-13
5.5744680851063815E-5     -2.8559797230355777E-13
5.617021276595743E-5      -2.836836632042037E-13
5.6595744680851044E-5     -2.8176125740903167E-13
5.7021276595744655E-5     -2.7983075491804167E-13
5.744680851063827E-5      -2.7789215573123373E-13
5.7872340425531884E-5     -2.759454598486079E-13
5.82978723404255E-5       -2.7399066727016405E-13
5.8723404255319114E-5     -2.720277779959023E-13
5.914893617021274E-5      -2.700571240529006E-13
5.9574468085106356E-5     -2.6807905178945244E-13
5.999999999999997E-5      -2.6609356120555783E-13
6.042553191489359E-5      -2.6410065230121695E-13
6.085106382978722E-5      -2.621003250764296E-13
6.127659574468083E-5      -2.6009257953119576E-13
6.170212765957445E-5      -2.5807741566551556E-13
6.212765957446806E-5      -2.560551618170155E-13
6.255319148936169E-5      -2.5402615826973376E-13
6.297872340425529E-5      -2.519904050236702E-13
6.340425531914891E-5      -2.4994790207882505E-13
6.382978723404252E-5      -2.478986494351982E-13
6.425531914893613E-5      -2.4584264709278953E-13
6.468085106382975E-5      -2.4377989505159917E-13
6.510638297872337E-5      -2.4171071759421613E-13
6.553191489361698E-5      -2.396354494348041E-13
6.59574468085106E-5       -2.3755409057336313E-13
6.638297872340422E-5      -2.354666410098933E-13
6.680851063829784E-5      -2.333731007443946E-13
6.723404255319147E-5      -2.3127346977686685E-13
6.765957446808508E-5      -2.2916774810731027E-13
6.80851063829787E-5       -2.270562558008589E-13
6.851063829787231E-5      -2.2493932259224618E-13
6.893617021276593E-5      -2.2281694848147205E-13
6.936170212765955E-5      -2.2068913346853657E-13
6.978723404255316E-5      -2.1855587755343975E-13
7.021276595744679E-5      -2.1641718073618148E-13
7.06382978723404E-5       -2.1427304301676194E-13
7.106382978723402E-5      -2.121237802602827E-13
7.148936170212763E-5      -2.0996971788593407E-13
7.191489361702124E-5      -2.0781085589371615E-13
7.234042553191486E-5      -2.0564719428362882E-13
7.276595744680848E-5      -2.034787330556722E-13
7.31914893617021E-5       -2.0130547220984615E-13
7.361702127659572E-5      -1.9912741174615081E-13
7.404255319148934E-5      -1.9694486350121784E-13
7.446808510638294E-5      -1.947581492971032E-13
7.489361702127655E-5      -1.9256726913380675E-13
7.531914893617019E-5      -1.903722230113286E-13
7.574468085106379E-5      -1.8817301092966876E-13
7.617021276595741E-5      -1.859696328888271E-13
7.659574468085102E-5      -1.8376208888880374E-13
7.702127659574463E-5      -1.8155068703966567E-13
7.744680851063826E-5      -1.793357463189002E-13
7.787234042553187E-5      -1.771172667265072E-13
7.82978723404255E-5       -1.748952482624867E-13
7.87234042553191E-5       -1.7266969092683884E-13
7.914893617021272E-5      -1.7044059471956344E-13
7.957446808510634E-5      -1.6820795964066057E-13
7.999999999999997E-5      -1.6597209048513503E-13
8.042553191489356E-5      -1.6373330415116737E-13
8.085106382978717E-5      -1.614916006387575E-13
8.12765957446808E-5       -1.592469799479055E-13
8.170212765957441E-5      -1.5699944207861136E-13
8.212765957446802E-5      -1.5474898703087504E-13
8.255319148936163E-5      -1.524956148046966E-13
8.297872340425526E-5      -1.5023962737845547E-13
8.340425531914888E-5      -1.479813403310133E-13
8.38297872340425E-5       -1.457207536623701E-13
8.425531914893612E-5      -1.434578673725258E-13
8.468085106382974E-5      -1.4119268146148054E-13
8.510638297872335E-5      -1.3892519592923413E-13
8.553191489361698E-5      -1.3665541077578674E-13
8.59574468085106E-5       -1.34383625725684E-13
8.638297872340422E-5      -1.3211015577594614E-13
8.680851063829783E-5      -1.2983500092657317E-13
8.723404255319144E-5      -1.275581611775651E-13
8.765957446808508E-5      -1.252796365289219E-13
8.808510638297869E-5      -1.2299942698064356E-13
8.85106382978723E-5       -1.2071753253273014E-13
8.893617021276592E-5      -1.1843425126303693E-13
8.936170212765952E-5      -1.1614989828345574E-13
8.978723404255313E-5      -1.1386447359398662E-13
9.021276595744674E-5      -1.115779771946295E-13
9.063829787234035E-5      -1.0929040908538444E-13
9.106382978723398E-5      -1.0700176926625136E-13
9.148936170212759E-5      -1.0471205773723035E-13
9.191489361702122E-5      -1.0242157156197817E-13
9.234042553191483E-5      -1.0013062660624428E-13
9.276595744680844E-5      -9.78392228700286E-14
9.319148936170208E-5      -9.554736035333118E-14
9.361702127659569E-5      -9.325503905615204E-14
9.40425531914893E-5       -9.096225897849112E-14
9.446808510638292E-5      -8.866902012034848E-14
9.489361702127655E-5      -8.63756191682638E-14
9.531914893617015E-5      -8.408237330961003E-14
9.574468085106377E-5      -8.178928254438718E-14
9.617021276595738E-5      -7.949634687259521E-14
9.6595744680851E-5        -7.720356629423419E-14
9.702127659574462E-5      -7.491094080930405E-14
9.744680851063823E-5      -7.261847041780484E-14
9.787234042553185E-5      -7.032645205224291E-14
9.829787234042548E-5      -6.803520470394394E-14
