% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:46
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(p)
0                         -0.004401219393590171
4.0816326530612243E-7     -0.0043564517989621515
8.163265306122445E-7      -0.004323201960119346
1.224489795918367E-6      -0.004301469877061751
1.632653061224489E-6      -0.0042912555497893684
2.0408163265306117E-6     -0.004292558978302201
2.448979591836734E-6      -0.004305380162600244
2.857142857142856E-6      -0.004329719102683501
3.265306122448978E-6      -0.004305705626206377
3.6734693877551007E-6     -0.004284010650377475
4.0816326530612225E-6     -0.004264634175196794
4.489795918367345E-6      -0.004247576200664335
4.897959183673468E-6      -0.0042328367267801
5.30612244897959E-6       -0.004220415753544085
5.714285714285712E-6      -0.004210313280956291
6.1224489795918346E-6     -0.004180989044223388
6.530612244897958E-6      -0.004147576931260456
6.9387755102040806E-6     -0.004110076942067492
7.3469387755102015E-6     -0.004068489076644498
7.755102040816326E-6      -0.004022813334991475
8.163265306122448E-6      -0.003973049717108419
8.571428571428571E-6      -0.003919198222995333
8.979591836734694E-6      -0.0038137140110838857
9.387755102040816E-6      -0.0036829295040675222
9.795918367346939E-6      -0.0035268447019462393
1.020408163265306E-5      -0.0033454596047200404
1.0612244897959184E-5     -0.0031387742123889237
1.1020408163265308E-5     -0.0029067885249528893
1.1428571428571429E-5     -0.0026495025424119376
1.1836734693877552E-5     -0.0025162367873873457
1.2244897959183674E-5     -0.002258940394041134
1.2653061224489795E-5     -0.0018776133623733021
1.3061224489795918E-5     -0.0013722556923838505
1.346938775510204E-5      -7.428673840727796E-4
1.3877551020408165E-5     1.055156255991166E-5
1.4285714285714285E-5     8.880011475142226E-4
1.4693877551020408E-5     0.0018880094723532298
1.510204081632653E-5      0.0032204802911998745
1.5510204081632655E-5     0.004885413604054148
1.5918367346938776E-5     0.006882809410916059
1.63265306122449E-5       0.009212667711785603
1.6734693877551024E-5     0.01187498850666278
1.7142857142857145E-5     0.014869771795547592
1.755102040816327E-5      0.018544939153429127
1.795918367346939E-5      0.02286595523526564
1.8367346938775515E-5     0.0278328200410571
1.8775510204081636E-5     0.03344553357080353
1.9183673469387756E-5     0.039704095824504924
1.959183673469388E-5      0.046608506802161276
2.0E-5                    0.0541587665037726
2.042553191489362E-5      0.06236489219493559
2.0851063829787234E-5     0.0703154767942578
2.1276595744680852E-5     0.07801052030173922
2.1702127659574467E-5     0.08545002271737988
2.212765957446808E-5      0.09263398404117973
2.2553191489361703E-5     0.09956240427313881
2.2978723404255317E-5     0.10623528341325711
2.3404255319148935E-5     0.11270380386733798
2.382978723404255E-5      0.11904181134444736
2.4255319148936165E-5     0.12524930584458513
2.4680851063829783E-5     0.13132628736775134
2.51063829787234E-5       0.13727275591394605
2.5531914893617015E-5     0.14308871148316915
2.5957446808510633E-5     0.14877415407542072
2.638297872340425E-5      0.15428540246039663
2.6808510638297866E-5     0.1597067144452835
2.7234042553191484E-5     0.16503809003008135
2.7659574468085102E-5     0.17027952921479017
2.808510638297872E-5      0.17543103199941
2.8510638297872334E-5     0.18049259838394072
2.8936170212765952E-5     0.18546422836838247
2.936170212765957E-5      0.19039038359117053
2.9787234042553185E-5     0.1952466803345197
3.02127659574468E-5       0.20003311859842993
3.063829787234042E-5      0.20474969838290127
3.106382978723404E-5      0.20939641968793382
3.148936170212765E-5      0.21397328251352732
3.191489361702127E-5      0.21848028685968202
3.2340425531914886E-5     0.2229140555051084
3.2765957446808504E-5     0.22728802133818535
3.319148936170212E-5      0.23160218435891275
3.361702127659574E-5      0.2358565445672907
3.404255319148936E-5      0.2400511019633192
3.4468085106382976E-5     0.24418585654699815
3.4893617021276594E-5     0.24826080831832767
3.531914893617021E-5      0.2522858386532962
3.574468085106383E-5      0.25625982835763467
3.617021276595744E-5      0.2601827774313434
3.659574468085106E-5      0.2640546858744222
3.702127659574468E-5      0.2678755536868712
3.744680851063829E-5      0.27164538086869017
3.7872340425531907E-5     0.2753641674198794
3.8297872340425525E-5     0.2790379721433881
3.8723404255319136E-5     0.28266762868556067
3.914893617021275E-5      0.28625313704639693
3.957446808510637E-5      0.28979449722589695
3.999999999999998E-5      0.29329170922406095
4.04255319148936E-5       0.29674477304088853
4.085106382978722E-5      0.30015368867638004
4.127659574468084E-5      0.3035227851209806
4.1702127659574455E-5     0.30685356690669807
4.2127659574468066E-5     0.31014603403353264
4.255319148936169E-5      0.31340018650148416
4.29787234042553E-5       0.3166160243105528
4.340425531914893E-5      0.3197935474607383
4.382978723404254E-5      0.3229327559520409
4.4255319148936156E-5     0.3260360361636223
4.4680851063829774E-5     0.3291052900340203
4.5106382978723385E-5     0.33214051756323476
4.5531914893616997E-5     0.3351417187512659
4.5957446808510615E-5     0.33810889359811364
4.638297872340423E-5      0.3410420421037778
4.680851063829785E-5      0.3439411642682586
4.7234042553191475E-5     0.34680949960179847
4.765957446808508E-5      0.34964735819265463
