% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 26 2025, 17:26
% Dimension:          1
% Nodes:              593
% Expressions:        2
% Description:        Global
% freq (Hz)               Re xi all, Im xi all     Re xi all, Im xi all
1704001.6240018238        1.1292969179169444E-12   6.749722450205785E-14
1713838.9327322522        1.0905718387477698E-12   5.882461325204783E-14
1723733.0328657452        1.055178179398888E-12    5.2346224354394446E-14
1733684.2522626582        1.0229889142032217E-12   4.7313095690419326E-14
1743692.9206760935        9.935612310089338E-13    4.3143747732455975E-14
1753759.3697628395        9.664163761150067E-13    3.952917773113378E-14
1763883.9330943706        9.411697118945886E-13    3.632331090626762E-14
1774066.9461678762        9.175353945327535E-13    3.344931550010485E-14
1784308.7464174065        8.952999471808533E-13    3.085500808344637E-14
1794609.6732250247        8.742987916425207E-13    2.849437985431777E-14
1804970.0679320833        8.54398882404307E-13     2.6317853482615714E-14
1815390.2738505085        8.354808094108025E-13    2.4263564111720054E-14
1825870.6362741883        8.174061643934767E-13    2.225351236663955E-14
1836411.5024904248        7.999595263535168E-13    2.023621061311327E-14
1847013.2217914166        7.828761508316025E-13    1.835421235008038E-14
1857676.1454858636        7.661919205803967E-13    1.6952454749625346E-14
1868400.6269105778        7.50254350801194E-13     1.6037701347925664E-14
1879187.0214422212        7.351391343465566E-13    1.5315826316014317E-14
1890035.686509054         7.207004524139386E-13    1.462797791693484E-14
1900946.9816028061        7.068087991454457E-13    1.394724854703472E-14
1911921.268290561         6.933856826464323E-13    1.3282379177102185E-14
1922958.9102267674        6.80382093862761E-13     1.2643691048330655E-14
1934060.2731652623        6.677632785154131E-13    1.2037351456412244E-14
1945225.7249714022        6.555016905732297E-13    1.1466010986754253E-14
1956455.6356342656        6.435739149457146E-13    1.0930089453555044E-14
1967750.377278886         6.319592615587157E-13    1.0428715320041293E-14
1979110.324178613         6.206390602576792E-13    9.96030465765991E-15
1990535.8527674843        6.095962614319838E-13    9.52289569043768E-15
2002027.3416527316        5.988151777549852E-13    9.11433131249629E-15
2013585.171627297         5.882812945192548E-13    8.732346657583471E-15
2025209.7256824651        5.779811141712186E-13    8.374593384784129E-15
2036901.389020565         5.679020122852655E-13    8.038616013223454E-15
2048660.5490677063        5.580320845518565E-13    7.721785128229397E-15
2060487.5954866519        5.483599548322383E-13    7.421186597973898E-15
2072382.920189694         5.388744919568493E-13    7.133468021362414E-15
2084346.9173516773        5.295643386301912E-13    6.854667293619766E-15
2096379.9834230293        5.204170868565018E-13    6.580134056481193E-15
2108482.517142911         5.114178760777545E-13    6.304903462341099E-15
2120654.9195524426        5.025473894567941E-13    6.0254626895192344E-15
2132897.5940079624        4.937805220444388E-13    5.744655795279616E-15
2145210.9461944285        4.850906743470768E-13    5.480356376087685E-15
2157595.384138825         4.764668453446599E-13    5.2694614048657706E-15
2170051.31822372          4.679334077032342E-13    5.147339614727525E-15
2182579.161200828         4.595352823742547E-13    5.111613876181225E-15
2195179.328204723         4.5129440501351206E-13   5.1238149412996994E-15
2207852.23676656          4.4319778207092854E-13   5.146314664065608E-15
2220598.3068279442        4.3521846601234536E-13   5.161037760109552E-15
2233417.9607548174        4.273320440988651E-13    5.164173842325975E-15
2246311.623351466         4.195201244811704E-13    5.156959331793967E-15
2259279.721874613         4.1176776949809933E-13   5.140096297691964E-15
2272322.686047542         4.040574875732268E-13    5.1123741571483845E-15
2285440.9480743757        3.963640744771826E-13    5.082028569523495E-15
2298634.9426543587        3.886832761126981E-13    5.075195183638152E-15
2311905.1069963016        3.810310909473723E-13    5.0841368330597205E-15
2325251.8808330335        3.7339144423452085E-13   5.086688233359573E-15
2338675.70643599          3.6573769727493834E-13   5.074294057924542E-15
2352177.0286298823        3.5803905637153715E-13   5.040646497334114E-15
2365756.294807401         3.502485051030157E-13    4.985104881697456E-15
2379413.9549440853        3.4230359907212557E-13   4.944210948210555E-15
2393150.46161319          3.3420328465385943E-13   5.0058426042492115E-15
