% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:32
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(p)
0                         -0.030311481267018325
4.0816326530612243E-7     -0.030571224370048333
8.163265306122445E-7      -0.03078220477497576
1.224489795918367E-6      -0.0309444224818006
1.632653061224489E-6      -0.031057877490522863
2.0408163265306117E-6     -0.03112256980114255
2.448979591836734E-6      -0.03113849941365965
2.857142857142856E-6      -0.031105666328074173
3.265306122448978E-6      -0.03132160958360461
3.6734693877551007E-6     -0.031540364329490485
4.0816326530612225E-6     -0.031761930565731775
4.489795918367345E-6      -0.0319863082923285
4.897959183673468E-6      -0.03221349750928065
5.30612244897959E-6       -0.03244349821658822
5.714285714285712E-6      -0.032676310414251224
6.1224489795918346E-6     -0.032987567054958686
6.530612244897958E-6      -0.03332675730177722
6.9387755102040806E-6     -0.0336938811547068
7.3469387755102015E-6     -0.03408893861374745
7.755102040816326E-6      -0.03451192967889917
8.163265306122448E-6      -0.03496285435016194
8.571428571428571E-6      -0.03544171262753578
8.979591836734694E-6      -0.03611200667040643
9.387755102040816E-6      -0.03689363874082144
9.795918367346939E-6      -0.03778660883878081
1.020408163265306E-5      -0.03879091696428454
1.0612244897959184E-5     -0.03990656311733265
1.1020408163265308E-5     -0.04113354729792512
1.1428571428571429E-5     -0.04247186950606195
1.1836734693877552E-5     -0.043318468802721305
1.2244897959183674E-5     -0.044657158133054264
1.2653061224489795E-5     -0.046487937497060795
1.3061224489795918E-5     -0.04881080689474096
1.346938775510204E-5      -0.05162576632609472
1.3877551020408165E-5     -0.05493281579112207
1.4285714285714285E-5     -0.05873195528982302
1.4693877551020408E-5     -0.06293657408519356
1.510204081632653E-5      -0.06836437028644639
1.5510204081632655E-5     -0.07501534389358144
1.5918367346938776E-5     -0.08288949490659882
1.63265306122449E-5       -0.09198682332549846
1.6734693877551024E-5     -0.10230732915028036
1.7142857142857145E-5     -0.11385101238094454
1.755102040816327E-5      -0.127886957485283
1.795918367346939E-5      -0.14416258492371564
1.8367346938775515E-5     -0.16267789469624222
1.8775510204081636E-5     -0.18343288680286296
1.9183673469387756E-5     -0.2064275612435778
1.959183673469388E-5      -0.2316619180183867
2.0E-5                    -0.25913595712728965
2.042553191489362E-5      -0.2888543807518257
2.0851063829787234E-5     -0.31761633509705633
2.1276595744680852E-5     -0.34542182016298173
2.1702127659574467E-5     -0.37227083594960186
2.212765957446808E-5      -0.39816338245691674
2.2553191489361703E-5     -0.42309945968492624
2.2978723404255317E-5     -0.44707906763363053
2.3404255319148935E-5     -0.4702925138944863
2.382978723404255E-5      -0.49300091634635806
2.4255319148936165E-5     -0.515204274989246
2.4680851063829783E-5     -0.5369025898231503
2.51063829787234E-5       -0.5580958608480708
2.5531914893617015E-5     -0.5787840880640074
2.5957446808510633E-5     -0.5989672714709603
2.638297872340425E-5      -0.6184933472604062
2.6808510638297866E-5     -0.6376593528160138
2.7234042553191484E-5     -0.6564652881377833
2.7659574468085102E-5     -0.6749111532257146
2.808510638297872E-5      -0.692996948079808
2.8510638297872334E-5     -0.7107226727000631
2.8936170212765952E-5     -0.7280883270864802
2.936170212765957E-5      -0.7452507828556888
