% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:50
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
0                         1.512431062613843E-10
4.2780521530280657E-7     1.5124190777009978E-10
8.556104306056131E-7      1.512383220759527E-10
1.2834156459084197E-6     1.5123234917894303E-10
1.7112208612112263E-6     1.512239890790709E-10
2.139026076514033E-6      1.5121324177633624E-10
2.5668312918168394E-6     1.5120010727073895E-10
2.994636507119646E-6      1.5118458556227917E-10
3.4224417224224526E-6     1.5116668622595461E-10
3.85024693772526E-6       1.5114641175106143E-10
4.278052153028066E-6      1.5112376213759959E-10
4.705857368330872E-6      1.5109873738556916E-10
5.133662583633679E-6      1.5107133749497016E-10
5.561467798936486E-6      1.5104156246580248E-10
5.989273014239292E-6      1.5100941229806618E-10
6.410088963256641E-6      1.509754762430324E-10
6.830904912273991E-6      1.509392560611162E-10
7.25172086129134E-6       1.5090075175231758E-10
7.672536810308689E-6      1.5085996331663662E-10
8.09335275932604E-6       1.5081689075407328E-10
8.514168708343389E-6      1.5077153406462752E-10
8.934984657360738E-6      1.5072389324829937E-10
9.335662524497946E-6      1.5067641785027398E-10
9.736340391635153E-6      1.5062688685242968E-10
1.0137018258772359E-5     1.5057530025476642E-10
1.0537696125909567E-5     1.505216580572842E-10
1.0938373993046773E-5     1.5046596025998312E-10
1.1339051860183981E-5     1.5040820686286302E-10
1.1739729727321188E-5     1.5034839786592402E-10
1.2124875559851212E-5     1.5028897535410704E-10
1.2510021392381236E-5     1.502276712503442E-10
1.289516722491126E-5      1.501644855546354E-10
1.3280313057441285E-5     1.500994182669808E-10
1.366545888997131E-5      1.5003246938738028E-10
1.4050604722501333E-5     1.4996363891583386E-10
1.4435750555031359E-5     1.4989292685234154E-10
1.481289903671961E-5      1.4982186325485422E-10
1.519004751840786E-5      1.497490267338361E-10
1.5567196000096113E-5     1.4967441728928708E-10
1.5944344481784364E-5     1.4959803492120726E-10
1.6321492963472616E-5     1.4951987962959666E-10
1.6698641445160864E-5     1.4943995141445516E-10
1.7075789926849116E-5     1.4935825027578287E-10
1.7433901167700504E-5     1.4927903153957693E-10
1.779201240855189E-5      1.4919829065597175E-10
1.8150123649403275E-5     1.4911602762496733E-10
1.850823489025466E-5      1.490322424465637E-10
1.886634613110605E-5      1.489469351207609E-10
1.9224457371957433E-5     1.488601056475588E-10
1.958256861280882E-5      1.4877175402695752E-10
1.9940481295372828E-5     1.4868199434250323E-10
2.0298393977936837E-5     1.4859087485096555E-10
2.0656306660500846E-5     1.4849839555234452E-10
2.1014219343064855E-5     1.4840455644664017E-10
2.137213202562886E-5      1.4830935753385245E-10
2.173004470819287E-5      1.482127988139814E-10
2.208795739075688E-5      1.4811488028702699E-10
2.245944263531065E-5      1.4801191032320358E-10
2.283092787986442E-5      1.479076330971038E-10
2.3202413124418192E-5     1.4780204860872758E-10
2.3573898368971962E-5     1.4769515685807497E-10
2.3945383613525733E-5     1.4758695784514597E-10
2.4316868858079504E-5     1.4747745156994052E-10
2.4688354102633274E-5     1.4736663803245866E-10
2.5091993018119224E-5     1.4724482527328167E-10
2.549563193360517E-5      1.4712161217527355E-10
2.5899270849091118E-5     1.469969987384343E-10
2.6302909764577068E-5     1.4687098496276397E-10
2.6706548680063018E-5     1.4674357084826253E-10
2.7110187595548965E-5     1.4661475639492994E-10
2.7513826511034915E-5     1.4648454160276625E-10
2.793795334649159E-5      1.4634628219000318E-10
2.8362080181948263E-5     1.462066178392284E-10
2.8786207017404936E-5     1.460655485504419E-10
2.9210333852861612E-5     1.4592307432364367E-10
2.9634460688318288E-5     1.4577919515883374E-10
3.005858752377496E-5      1.4563391105601203E-10
3.0482714359231637E-5     1.4548722201517863E-10
3.0910519574534446E-5     1.4533791004356487E-10
3.133832478983725E-5      1.4518729756313386E-10
3.176613000514005E-5      1.4503538457388563E-10
3.219393522044286E-5      1.448821710758202E-10
3.262174043574567E-5      1.4472765706893755E-10
3.304954565104847E-5      1.4457184255323767E-10
3.347735086635128E-5      1.4441472752872058E-10
3.3905156081654086E-5     1.4425637664432782E-10
3.4332961296956895E-5     1.440968393743288E-10
3.47607665122597E-5       1.4393611571872354E-10
3.518857172756251E-5      1.43774205677512E-10
3.5616376942865314E-5     1.4361110925069427E-10
3.604418215816812E-5      1.4344682643827024E-10
3.647198737347093E-5      1.4328135724024E-10
3.689979258877374E-5      1.4311475865054403E-10
3.732759780407654E-5      1.4294707560388657E-10
3.775540301937935E-5      1.4277830810026768E-10
3.818320823468215E-5      1.4260845613968736E-10
3.861101344998497E-5      1.424375197221456E-10
3.903881866528777E-5      1.4226549884764236E-10
3.946662388059058E-5      1.420923935161777E-10
3.989442909589339E-5      1.4191825480955546E-10
4.032223431119619E-5      1.4174312361443174E-10
4.075003952649899E-5      1.4156699993080643E-10
4.117784474180181E-5      1.4138988375867962E-10
4.160564995710461E-5      1.4121177509805132E-10
4.203345517240741E-5      1.410326739489214E-10
4.246126038771022E-5      1.4085258031128998E-10
4.288906560301303E-5      1.4067154023834227E-10
4.331687081831583E-5      1.4048959126114224E-10
4.374467603361863E-5      1.4030673337968988E-10
4.417248124892144E-5      1.4012296659398519E-10
4.460028646422425E-5      1.3993829090402822E-10
4.502809167952706E-5      1.3975270630981888E-10
4.545589689482986E-5      1.3956621281135724E-10
4.588370211013267E-5      1.39378852327461E-10
4.631150732543547E-5      1.391906593744825E-10
4.673931254073827E-5      1.3900163395242172E-10
4.716711775604109E-5      1.3881177606127865E-10
4.759492297134389E-5      1.3862108570105334E-10
4.80227281866467E-5       1.384295628717457E-10
4.845053340194951E-5      1.3823720757335582E-10
4.8878338617252316E-5     1.380440581409944E-10
4.9306143832555124E-5     1.3785014641673407E-10
4.9733949047857926E-5     1.3765547240057476E-10
5.0161754263160735E-5     1.374600360925165E-10
5.0589559478463544E-5     1.3726383749255941E-10
5.1017364693766346E-5     1.370668766007033E-10
5.1445169909069154E-5     1.3686915341694828E-10
5.187297512437196E-5      1.3667070314208037E-10
5.230078033967478E-5      1.364715552047596E-10
5.272858555497758E-5      1.3627170960498592E-10
5.315639077028039E-5      1.3607116634275934E-10
5.35841959855832E-5       1.358699254180799E-10
5.4012001200886006E-5     1.3566798683094754E-10
5.4439806416188815E-5     1.354653505813623E-10
5.4867611631491624E-5     1.352620490865651E-10
5.529541684679443E-5      1.35058109574308E-10
5.5723222062097234E-5     1.3485353204459098E-10
5.6151027277400036E-5     1.3464831649741408E-10
5.657883249270284E-5      1.3444246293277734E-10
5.7006637708005654E-5     1.3423597135068064E-10
5.7434442923308456E-5     1.340288417511241E-10
5.786224813861127E-5      1.3382110404716775E-10
5.829005335391407E-5      1.3361278344268936E-10
5.8717858569216875E-5     1.3340387993768894E-10
5.914566378451969E-5      1.3319439353216647E-10
5.957346899982249E-5      1.32984324226122E-10
6.00012742151253E-5       1.3277367201955543E-10
6.042907943042811E-5      1.3256243691246685E-10
6.085688464573092E-5      1.323506465410781E-10
6.128468986103373E-5      1.321383242354777E-10
6.171249507633653E-5      1.3192546999566574E-10
6.214030029163933E-5      1.3171208382164222E-10
6.256810550694215E-5      1.314981657134071E-10
6.299591072224495E-5      1.3128371567096036E-10
6.342371593754775E-5      1.3106873369430204E-10
6.385152115285055E-5      1.3085324533150995E-10
6.427932636815337E-5      1.3063727216818296E-10
6.470713158345617E-5      1.3042081420432115E-10
6.513493679875897E-5      1.3020387143992452E-10
