% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:52
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(p)
0                         NaN
4.2780521530280657E-7     -0.002710430955051232
8.556104306056131E-7      -0.004639147321188651
1.2834156459084197E-6     -0.006784875981051263
1.7112208612112263E-6     -0.009111141862456932
2.139026076514033E-6      -0.011583774256399596
2.5668312918168394E-6     -0.014170727669830028
2.994636507119646E-6      -0.016841919135317917
3.4224417224224526E-6     -0.017118986966743122
3.85024693772526E-6       -0.018163980753825422
4.278052153028066E-6      -0.019766786605299756
4.705857368330872E-6      -0.021723026382838448
5.133662583633679E-6      -0.02383386330760547
5.561467798936486E-6      -0.025905815419082382
5.989273014239292E-6      -0.0277505765190057
6.410088963256641E-6      -0.0276495053884722
6.830904912273991E-6      -0.02928451145475346
7.25172086129134E-6       -0.031883612114503926
7.672536810308689E-6      -0.03470784483994541
8.09335275932604E-6       -0.03704952039462966
8.514168708343389E-6      -0.03823058577569973
8.934984657360738E-6      -0.037601088924189535
9.335662524497946E-6      -0.041419828706861735
9.736340391635153E-6      -0.044062047852302694
1.0137018258772359E-5     -0.04578552234980886
1.0537696125909567E-5     -0.046851494789571485
1.0938373993046773E-5     -0.04752473283298101
1.1339051860183981E-5     -0.048073588871066206
1.1739729727321188E-5     -0.04877006089792163
1.2124875559851212E-5     -0.05431762224126761
1.2510021392381236E-5     -0.06028517706406886
1.289516722491126E-5      -0.06489254665867547
1.3280313057441285E-5     -0.06623319071392922
1.366545888997131E-5      -0.06226279292518141
1.4050604722501333E-5     -0.05078658655005082
1.4435750555031359E-5     -0.029445254584983795
1.481289903671961E-5      -0.10606740013815658
1.519004751840786E-5      -0.1246311130430604
1.5567196000096113E-5     -0.10487681995581469
1.5944344481784364E-5     -0.0709710974153748
1.6321492963472616E-5     -0.05282086359584947
1.6698641445160864E-5     -0.0878853756969041
1.7075789926849116E-5     -0.22372084983898483
1.7433901167700504E-5     -0.13477893949071762
1.779201240855189E-5      -0.11618211437478956
1.8150123649403275E-5     -0.14744852648528667
1.850823489025466E-5      -0.2055717178736601
1.886634613110605E-5      -0.2646192710236967
1.9224457371957433E-5     -0.29525237946484484
1.958256861280882E-5      -0.26414754303701704
1.9940481295372828E-5     -0.29624563485608746
2.0298393977936837E-5     -0.34141955277086894
2.0656306660500846E-5     -0.39324546372363844
2.1014219343064855E-5     -0.44400738325168293
2.137213202562886E-5      -0.4843550776139128
2.173004470819287E-5      -0.5028472045436229
2.208795739075688E-5      -0.48533211806876453
2.245944263531065E-5      -0.5590523455710251
2.283092787986442E-5      -0.6015244419795684
2.3202413124418192E-5     -0.624765365975166
2.3573898368971962E-5     -0.6397636942290787
2.3945383613525733E-5     -0.6565873251767865
2.4316868858079504E-5     -0.6844779245549657
2.4688354102633274E-5     -0.7319339785130404
2.5091993018119224E-5     -0.7496492667229481
2.549563193360517E-5      -0.7708807167452923
2.5899270849091118E-5     -0.7945835914506859
2.6302909764577068E-5     -0.8197023832239922
2.6706548680063018E-5     -0.8451706748104016
2.7110187595548965E-5     -0.8699109979993704
2.7513826511034915E-5     -0.8928346901051367
2.793795334649159E-5      -0.9161535209349274
2.8362080181948263E-5     -0.9397879476783756
2.8786207017404936E-5     -0.9634321100684274
2.9210333852861612E-5     -0.9867946525518649
2.9634460688318288E-5     -1.00959787454788
3.005858752377496E-5      -1.031576939752282
3.0482714359231637E-5     -1.052479139755203
3.0910519574534446E-5     -1.0744714539514286
3.133832478983725E-5      -1.0958723498343335
3.176613000514005E-5      -1.1167550179808965
3.219393522044286E-5      -1.1371936834636829
3.262174043574567E-5      -1.1572636241932857
3.304954565104847E-5      -1.1770411896519881
3.347735086635128E-5      -1.1966038200287692
3.3905156081654086E-5     -1.215646575644764
3.4332961296956895E-5     -1.234417191631257
3.47607665122597E-5       -1.2529048143217103
3.518857172756251E-5      -1.2710989019985952
3.5616376942865314E-5     -1.288989213765599
3.604418215816812E-5      -1.3065657988937334
3.647198737347093E-5      -1.323818986616007
3.689979258877374E-5      -1.3408213762595036
3.732759780407654E-5      -1.3575600206752887
3.775540301937935E-5      -1.3740336231856334
3.818320823468215E-5      -1.3902408679642455
3.861101344998497E-5      -1.4061804196814462
3.903881866528777E-5      -1.4218509231416077
3.946662388059058E-5      -1.4372510029120904
3.989442909589339E-5      -1.4524060937328456
4.032223431119619E-5      -1.4673225081886148
4.075003952649899E-5      -1.4820017752878643
4.117784474180181E-5      -1.4964454015427808
4.160564995710461E-5      -1.5106548713813555
4.203345517240741E-5      -1.5246316475503703
4.246126038771022E-5      -1.5383771715100296
4.288906560301303E-5      -1.5518925956482688
4.331687081831583E-5      -1.5652061222311202
4.374467603361863E-5      -1.5783147122845764
4.417248124892144E-5      -1.5912153268342963
4.460028646422425E-5      -1.6039049269059877
4.502809167952706E-5      -1.616380473525476
4.545589689482986E-5      -1.628638927718439
4.588370211013267E-5      -1.640708320798004
4.631150732543547E-5      -1.6525900105743032
4.673931254073827E-5      -1.6642831970111134
4.716711775604109E-5      -1.6757870800723522
4.759492297134389E-5      -1.6871008597220807
4.80227281866467E-5       -1.698223735924006
4.845053340194951E-5      -1.7091549086420994
4.8878338617252316E-5     -1.7199117035693101
4.9306143832555124E-5     -1.7304968625087518
4.9733949047857926E-5     -1.740910172996579
5.0161754263160735E-5     -1.7511514225687683
5.0589559478463544E-5     -1.761220398761168
5.1017364693766346E-5     -1.7711168891098714
5.1445169909069154E-5     -1.7808406811506794
5.187297512437196E-5      -1.7904039377322294
5.230078033967478E-5      -1.7998094460598906
5.272858555497758E-5      -1.8090573291829632
5.315639077028039E-5      -1.818147710150894
5.35841959855832E-5       -1.827080712012978
5.4012001200886006E-5     -1.8358564578185996
5.4439806416188815E-5     -1.8444750706169994
5.4867611631491624E-5     -1.8529453483839675
5.529541684679443E-5      -1.8612700004249472
5.5723222062097234E-5     -1.8694493258090725
5.6151027277400036E-5     -1.8774836236055015
5.657883249270284E-5      -1.885373192883124
5.7006637708005654E-5     -1.8931183327111984
5.7434442923308456E-5     -1.9007193421585367
