% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 12:35
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(xi)
0                         -3.700132849871732E-11
1.6835192320072636E-7     -3.700114102000181E-11
3.367038464014527E-7      -3.700057862349913E-11
5.050557696021791E-7      -3.699964130920928E-11
6.734076928029054E-7      -3.699832907713225E-11
8.417596160036319E-7      -3.6996641927268065E-11
1.0101115392043582E-6     -3.699457985961671E-11
1.1801802473622774E-6     -3.6992116125012194E-11
1.3502489555201964E-6     -3.698926995060156E-11
1.5203176636781154E-6     -3.698604133638482E-11
1.6903863718360344E-6     -3.698243028236196E-11
1.8604550799939534E-6     -3.697843678853299E-11
2.0305237881518723E-6     -3.697406085489791E-11
2.200592664946635E-6      -3.696930258900421E-11
2.370661541741397E-6      -3.696416221098252E-11
2.5407304185361593E-6     -3.6958639720832835E-11
2.710799295330922E-6      -3.695273511855515E-11
2.880868172125684E-6      -3.694644840414948E-11
3.0509370489204466E-6     -3.693977957761581E-11
3.2210059257152087E-6     -3.693272883393707E-11
3.3910748025099717E-6     -3.6925296471255904E-11
3.5611436793047335E-6     -3.691748248957232E-11
3.731212556099496E-6      -3.690928688888629E-11
3.901281432894258E-6      -3.6900709669197845E-11
4.07135030968902E-6       -3.689175083050696E-11
4.2414191864837825E-6     -3.688241065009343E-11
4.411488063278545E-6      -3.687268950848609E-11
4.581556940073307E-6      -3.6862587405684925E-11
4.751625816868069E-6      -3.685210434168995E-11
4.921694693662831E-6      -3.684124031650116E-11
5.091763570457593E-6      -3.6829995330118555E-11
5.261832447252356E-6      -3.6818369741692133E-11
5.4319013240471185E-6     -3.680636401402029E-11
5.601970200841881E-6      -3.6793978147103027E-11
5.772039077636643E-6      -3.678121214094034E-11
5.942107954431407E-6      -3.676806599553223E-11
6.112176831226169E-6      -3.675453971087871E-11
6.282245708020931E-6      -3.6740633727857454E-11
6.452314584815693E-6      -3.67263485913133E-11
6.622383461610455E-6      -3.671168430124626E-11
6.7924523384052175E-6     -3.6696640857656323E-11
6.96252121519998E-6       -3.668121826054349E-11
7.132590091994742E-6      -3.666541650990777E-11
7.302658968789505E-6      -3.664923612825358E-11
7.472727845584267E-6      -3.663267774216364E-11
7.642796722379028E-6      -3.661574135163797E-11
7.812865599173792E-6      -3.659842695667656E-11
7.982934475968554E-6      -3.6580734557279426E-11
8.153003352763316E-6      -3.656266415344655E-11
8.323072229558079E-6      -3.6544216349107385E-11
8.493141106352842E-6      -3.652539185226318E-11
8.663209983147605E-6      -3.6506190662913965E-11
8.833278859942367E-6      -3.648661278105972E-11
9.003347736737129E-6      -3.6466658206700455E-11
9.173416613531891E-6      -3.644632693983617E-11
9.343485490326653E-6      -3.642561966558229E-11
9.513554367121415E-6      -3.640453717296253E-11
9.683623243916178E-6      -3.6383079461976865E-11
9.853692120710938E-6      -3.636124653262531E-11
1.00237609975057E-5       -3.633903838490786E-11
1.0193829874300462E-5     -3.6316455018824523E-11
1.0363898751095225E-5     -3.629349720039634E-11
1.0533967627889988E-5     -3.627016579923119E-11
1.070403650468475E-5      -3.624646081532905E-11
1.0874105381479513E-5     -3.622238224868995E-11
1.1044174258274277E-5     -3.619793009931387E-11
1.1214243135069039E-5     -3.6173104367200827E-11
1.1384312011863803E-5     -3.614790589895212E-11
1.1554380888658565E-5     -3.612233564429681E-11
1.1724449765453327E-5     -3.6096393603234905E-11
1.1894518642248089E-5     -3.6070079775766386E-11
1.2064587519042851E-5     -3.604339416189127E-11
1.2234656395837613E-5     -3.601633676160955E-11
1.2404725272632376E-5     -3.5988908501735926E-11
1.257479414942714E-5      -3.596111041162714E-11
1.27448630262219E-5       -3.5932942491283204E-11
1.2914931903016664E-5     -3.5904404740704104E-11
1.3085000779811424E-5     -3.587549715988985E-11
1.3255069656606186E-5     -3.584621974884044E-11
1.3425138533400948E-5     -3.5816573514176585E-11
1.3595207410195712E-5     -3.578655956435175E-11
1.3765276286990473E-5     -3.5756177899365935E-11
1.3935345163785237E-5     -3.572542851921914E-11
1.4105414040579997E-5     -3.569431142391136E-11
1.427548291737476E-5      -3.566282661344261E-11
1.4445551794169521E-5     -3.563097517378956E-11
1.4615620670964285E-5     -3.559875829193646E-11
1.4785689547759046E-5     -3.556617596788329E-11
1.495575842455381E-5      -3.553322820163006E-11
1.5125827301348572E-5     -3.549991499317676E-11
1.5295896178143334E-5     -3.54662363425234E-11
1.5465965054938098E-5     -3.5432193414511495E-11
1.5636033931732858E-5     -3.539778747405616E-11
1.580610280852762E-5      -3.5363018521157415E-11
1.5976171685322383E-5     -3.532788655581524E-11
1.6146240562117146E-5     -3.5292391578029656E-11
1.6316309438911907E-5     -3.525653358780065E-11
1.648637831570667E-5      -3.522031382829736E-11
1.665644719250143E-5      -3.518373364173947E-11
1.6826516069296195E-5     -3.514679302812698E-11
1.6996584946090956E-5     -3.510949198745988E-11
1.716665382288572E-5      -3.5071830519738185E-11
1.733672269968048E-5      -3.503380862496189E-11
1.7506791576475244E-5     -3.499542762404763E-11
1.7676860453270008E-5     -3.4956688935858725E-11
1.7846929330064768E-5     -3.491759256039515E-11
1.8016998206859532E-5     -3.4878138497656915E-11
1.8187067083654292E-5     -3.4838326747644026E-11
1.8357135960449056E-5     -3.479815731035647E-11
1.852720483724382E-5      -3.4757631583829887E-11
1.8697273714038584E-5     -3.4716751062896774E-11
1.8867342590833344E-5     -3.467551574755713E-11
1.9037411467628108E-5     -3.463392563781095E-11
1.9207480344422872E-5     -3.459198073365824E-11
1.9377549221217633E-5     -3.4549681035098995E-11
1.9547618098012396E-5     -3.450702801660515E-11
1.9717686974807157E-5     -3.4464023248272444E-11
1.9887755851601917E-5     -3.4420666730100885E-11
2.005782472839668E-5      -3.437695846209046E-11
2.0227893605191438E-5     -3.433289844424119E-11
2.0397962481986202E-5     -3.4288486676553056E-11
2.0568031358780966E-5     -3.4243724709218796E-11
2.073810023557573E-5      -3.4198614186852226E-11
2.090816911237049E-5      -3.415315510945335E-11
2.1078237989165254E-5     -3.410734747702217E-11
2.1248306865960018E-5     -3.406119128955869E-11
2.141837574275478E-5      -3.401468654706291E-11
2.1588444619549542E-5     -3.396783487470087E-11
2.1758513496344303E-5     -3.392063799081897E-11
2.1928582373139063E-5     -3.38730958954172E-11
2.2098651249933827E-5     -3.382520858849556E-11
2.2268720126728584E-5     -3.377697607005405E-11
2.2438789003523348E-5     -3.372839834009268E-11
2.2608857880318112E-5     -3.3679477097972495E-11
2.2778926757112876E-5     -3.363021413494642E-11
2.2948995633907636E-5     -3.358060945101446E-11
2.3119064510702397E-5     -3.353066304617663E-11
2.3289133387497164E-5     -3.348037492043293E-11
2.3459202264291924E-5     -3.342974507378334E-11
2.3629271141086688E-5     -3.337877527897022E-11
2.379934001788145E-5      -3.332746739929658E-11
2.396940889467621E-5      -3.3275821434762425E-11
2.4139477771470973E-5     -3.322383738536776E-11
2.4309546648265737E-5     -3.317151525111257E-11
2.4479615525060497E-5     -3.311885503199688E-11
2.464968440185526E-5      -3.306585857329647E-11
2.481975327865002E-5      -3.301252780947164E-11
2.4989822155444785E-5     -3.295886274052237E-11
2.515989103223955E-5      -3.290486336644866E-11
2.532995990903431E-5      -3.285052968725053E-11
2.5500028785829074E-5     -3.279586170292796E-11
2.5670097662623834E-5     -3.274086133041208E-11
2.5840166539418598E-5     -3.26855305743904E-11
2.6010235416213362E-5     -3.262986943486289E-11
2.6180304293008122E-5     -3.2573877911829565E-11
2.6350373169802883E-5     -3.251755600529042E-11
2.6520442046597647E-5     -3.246090371524547E-11
2.669051092339241E-5      -3.240392302936815E-11
2.686057980018717E-5      -3.234661602161184E-11
2.703064867698193E-5      -3.228898269197653E-11
2.7200717553776692E-5     -3.223102304046223E-11
2.7370786430571456E-5     -3.2172737067068935E-11
2.7540855307366216E-5     -3.2114124771796646E-11
2.771092418416098E-5      -3.205518821211534E-11
2.7880993060955744E-5     -3.199592953024569E-11
2.8051061937750504E-5     -3.19363487261877E-11
2.8221130814545265E-5     -3.1876445799941374E-11
2.839119969134003E-5      -3.181622075150671E-11
2.8561268568134793E-5     -3.17556735808837E-11
2.8731337444929556E-5     -3.1694806414361657E-11
2.890140632172432E-5      -3.1633621461398E-11
2.907147519851908E-5      -3.1572118721992735E-11
2.9241544075313845E-5     -3.1510298196145856E-11
2.9411612952108605E-5     -3.144815988385736E-11
2.958168182890337E-5      -3.1385703785127256E-11
2.975175070569813E-5      -3.132293209405359E-11
2.9921819582492897E-5     -3.1259847086267396E-11
