% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 14:24
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
0                         -2.0132462481772895E-10
4.2016806722688943E-7     -2.0132379940619294E-10
8.403361344537784E-7      -2.0132132505996663E-10
1.260504201680668E-6      -2.013172017790499E-10
1.6806722689075569E-6     -2.013114295634429E-10
2.1008403361344462E-6     -2.013040084131456E-10
2.521008403361336E-6      -2.0129493832815793E-10
2.941176470588225E-6      -2.0128421930847989E-10
3.361344537815116E-6      -2.0127185031699928E-10
3.781512605042006E-6      -2.0125783349020452E-10
4.2016806722688975E-6     -2.0124216882809545E-10
4.621848739495788E-6      -2.0122485633067226E-10
5.0420168067226796E-6     -2.0120589599793492E-10
5.46218487394957E-6       -2.011852878298833E-10
5.882352941176461E-6      -2.0116303182651753E-10
6.302521008403353E-6      -2.0113912740945428E-10
6.722689075630246E-6      -2.0111357732928448E-10
7.1428571428571385E-6     -2.01086381586008E-10
7.563025210084031E-6      -2.0105754017962504E-10
7.983193277310924E-6      -2.0102705311013548E-10
8.403361344537817E-6      -2.0099492037753934E-10
8.823529411764708E-6      -2.009611419818366E-10
9.2436974789916E-6        -2.0092571789366127E-10
9.66386554621849E-6       -2.0088865139319854E-10
1.0084033613445381E-5     -2.0084994248044828E-10
1.0504201680672271E-5     -2.0080959115541065E-10
1.0924369747899162E-5     -2.0076759741808551E-10
1.1344537815126054E-5     -2.0072396126847296E-10
1.1764705882352944E-5     -2.0067868270657287E-10
1.2184873949579835E-5     -2.0063176225403397E-10
1.2605042016806726E-5     -2.0058320372275272E-10
1.3025210084033616E-5     -2.0053300711272896E-10
1.3445378151260506E-5     -2.0048117242396289E-10
1.3865546218487399E-5     -2.0042769965645446E-10
1.4285714285714289E-5     -2.0037258881020355E-10
1.470588235294118E-5      -2.003158398852103E-10
1.5126050420168068E-5     -2.0025745394759643E-10
1.5546218487394955E-5     -2.001974353455992E-10
1.5966386554621844E-5     -2.0013578407921846E-10
1.638655462184873E-5      -2.0007250014845442E-10
1.6806722689075617E-5     -2.00007583553307E-10
1.7226890756302507E-5     -1.9994103429377614E-10
1.7647058823529393E-5     -1.9987285236986192E-10
1.8067226890756286E-5     -1.998030393896121E-10
1.8487394957983176E-5     -1.9973160023829032E-10
1.8907563025210073E-5     -1.9965853491589651E-10
1.9327731092436962E-5     -1.9958384342243077E-10
1.974789915966386E-5      -1.995075257578931E-10
2.0168067226890752E-5     -1.994295819222834E-10
2.0588235294117642E-5     -1.9935001191560172E-10
2.1008403361344535E-5     -1.992688178867693E-10
2.1428571428571425E-5     -1.9918600525722644E-10
2.1848739495798315E-5     -1.9910157402697292E-10
2.2268907563025204E-5     -1.9901552419600898E-10
2.2689075630252094E-5     -1.9892785576433457E-10
2.3109243697478987E-5     -1.9883856873194957E-10
2.3529411764705877E-5     -1.9874766309885407E-10
2.394957983193277E-5      -1.9865514155405544E-10
2.436974789915966E-5      -1.9856101005381915E-10
2.478991596638655E-5      -1.9846526859814508E-10
2.521008403361344E-5      -1.9836791718703338E-10
2.5630252100840332E-5     -1.98268955820484E-10
2.6050420168067226E-5     -1.9816838449849693E-10
2.6470588235294115E-5     -1.9806620322107214E-10
2.6890756302521005E-5     -1.9796241521645048E-10
2.7310924369747895E-5     -1.9785702697413815E-10
2.7731092436974788E-5     -1.9775003849413503E-10
2.8151260504201674E-5     -1.9764144977644126E-10
2.8571428571428567E-5     -1.9753126082105675E-10
2.899159663865546E-5      -1.974194716279815E-10
2.941176470588235E-5      -1.9730608219721554E-10
2.983193277310924E-5      -1.9719109629521797E-10
3.025210084033613E-5      -1.9707452094301192E-10
3.067226890756302E-5      -1.9695635614059726E-10
3.109243697478991E-5      -1.9683660188797416E-10
3.1512605042016806E-5     -1.9671525818514247E-10
3.1932773109243696E-5     -1.9659232503210224E-10
3.2352941176470585E-5     -1.9646780242885353E-10
3.2773109243697475E-5     -1.963416946789182E-10
3.3193277310924365E-5     -1.9621400933294417E-10
3.3613445378151255E-5     -1.9608474639093132E-10
3.4033613445378144E-5     -1.9595390585287972E-10
3.445378151260504E-5      -1.958214877187894E-10
3.487394957983193E-5      -1.9568749198866028E-10
3.529411764705882E-5      -1.955519186624924E-10
3.571428571428571E-5      -1.9541477257954604E-10
3.61344537815126E-5       -1.9527606181807712E-10
3.6554621848739496E-5     -1.9513578637808543E-10
3.697478991596638E-5      -1.9499394625957117E-10
3.7394957983193276E-5     -1.9485054146253432E-10
3.781512605042017E-5      -1.9470557198697477E-10
3.8235294117647055E-5     -1.9455903783289258E-10
3.8655462184873945E-5     -1.9441094437381226E-10
3.907563025210084E-5      -1.9426130021343427E-10
3.949579831932773E-5      -1.9411010535175852E-10
3.991596638655462E-5      -1.9395735978878514E-10
4.033613445378151E-5      -1.9380306352451412E-10
4.075630252100841E-5      -1.9364721655894537E-10
4.11764705882353E-5       -1.9348981889207896E-10
4.1596638655462194E-5     -1.9333087643008073E-10
4.2016806722689084E-5     -1.931703982997958E-10
4.2436974789915967E-5     -1.9300838450122408E-10
4.285714285714286E-5      -1.928448350343657E-10
4.327731092436975E-5      -1.9267974989922058E-10
4.369747899159664E-5      -1.925131290957887E-10
4.411764705882353E-5      -1.9234497262407012E-10
