% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 12:27
% Dimension:          1
% Nodes:              555
% Expressions:        2
% Description:        Global
% f (Hz)                  ,                        , 
20                        -6.474420844409886E-11   7.316609304562688E-15
50                        -6.474391372953852E-11   1.8286906376535606E-14
100                       -6.474286136929986E-11   3.6518949357152E-14
200                       -6.473869482087011E-11   7.261054064015784E-14
500                       -6.471127140091376E-11   1.7442754406853753E-13
1000                      -6.463335120380034E-11   3.087397359818591E-13
1258.9254117941675        -6.458763676782669E-11   3.594167817695882E-13
1584.893192461114         -6.453210176450449E-11   4.0820343262937843E-13
1995.2623149688789        -6.447009470851982E-11   4.524090313173084E-13
2511.88643150958          -6.440696390737863E-11   4.914871196866517E-13
3162.2776601683795        -6.434871693707533E-11   5.278406693409018E-13
3981.0717055349733        -6.43006975606949E-11    5.664534449050293E-13
5011.872336272725         -6.426718186146337E-11   6.137632738978354E-13
6309.57344480193          -6.425215406207912E-11   6.765935074815369E-13
7943.282347242814         -6.426100639506306E-11   7.617026997830261E-13
10000                     -6.430289244936593E-11   8.760954519479076E-13
12589.254117941662        -6.439375432809653E-11   1.0280402729184819E-12
15848.93192461114         -6.456044671324777E-11   1.2287338021712947E-12
19952.62314968879         -6.484703930666596E-11   1.4947029875286013E-12
25118.864315095823        -6.532554220417077E-11   1.8516281928579118E-12
31622.776601683792        -6.611530494229565E-11   2.341728790498899E-12
39810.71705534969         -6.741961578772499E-11   3.0400612278168636E-12
50118.72336272725         -6.959922892301112E-11   4.0937946674960464E-12
63095.7344480193          -7.333464300498754E-11   5.8280389681001275E-12
79432.82347242821         -8.003023156916171E-11   9.081870574702526E-12
100000                    -9.296699382175528E-11   1.6566070935556592E-11
102329.29922807537        -9.485520097473678E-11   1.7823990056734518E-11
104712.85480508985        -9.689468326709721E-11   1.923641974779396E-11
107151.9305237607         -9.909994386658137E-11   2.082933746281124E-11
109647.8196143185         -1.0148676495881155E-10  2.2634224540829247E-11
112201.84543019629        -1.0407211996872941E-10  2.4689465125071992E-11
114815.36214968817        -1.0687392903624927E-10  2.704215340606784E-11
117489.75549395304        -1.0991055182405698E-10  2.9750438822548034E-11
120226.4434617413         -1.1319984574713115E-10  3.2886579105375067E-11
123026.87708123811        -1.167575103919048E-10   3.6540919585467566E-11
125892.54117941661        -1.2059426275432537E-10  4.08270686118709E-11
128824.95516931349        -1.2471109939090407E-10  4.588857709670567E-11
131825.67385564075        -1.2909142918129135E-10  5.190741108291628E-11
134896.28825916533        -1.3368809582285122E-10  5.911432534683427E-11
138038.42646028838        -1.3840210161760334E-10  6.78006641866093E-11
141253.75446227554        -1.4304803950646467E-10  7.832961102833376E-11
144543.9770745928         -1.4729886467853325E-10  9.114139738727352E-11
147910.83881682073        -1.5060052418687142E-10  1.0673938752630455E-10
151356.12484362072        -1.5204852594821017E-10  1.2562892997223579E-10
154881.66189124828        -1.5023388252372435E-10  1.4815533154435795E-10
158489.3192461114         -1.4311826909784758E-10  1.741576038801464E-10
162181.009735893          -1.2812150867525484E-10  2.023656618210088E-10
165958.69074375596        -1.0278177726890537E-10  2.2965151938245456E-10
169824.3652461746         -6.631722993936076E-11   2.50757502374846E-10
173780.08287493762        -2.157860222966602E-11   2.596396981375697E-10
177827.94100389228        2.461548202266139E-11    2.526852436212451E-10
181970.08586099825        6.436232255360282E-11    2.313646192891413E-10
186208.71366628655        9.270830424292431E-11    2.0132545583416782E-10
190546.07179632483        1.090859874238008E-10    1.688981314795568E-10
194984.45997580455        1.1579657952262858E-10   1.3848580607587E-10
199526.2314968879         1.158984333101356E-10    1.1213430176101436E-10
204173.79446695274        1.1200017661771807E-10   9.027072951316003E-11
208929.6130854041         1.0594109097885529E-10   7.252518943290872E-11
213796.20895022326        9.888918813240509E-11    5.825728391436382E-11
218776.16239495517        9.153811200347149E-11    4.681289791332444E-11
223872.11385683378        8.427821616385987E-11    3.7621932900176115E-11
229086.76527677747        7.73163829618301E-11     3.022028514527042E-11
230000.0000000001         7.615212397760926E-11    2.9094487281081897E-11
231061.63176403087        7.481985556119618E-11    2.7842031719987402E-11
232128.16379763727        7.350444161919813E-11    2.664166159818765E-11
233199.6187194365         7.220617707466018E-11    2.5491092514859506E-11
234276.019252447          7.092529067137046E-11    2.4388151983553302E-11
