% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 12:35
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
0                         -2.1766615219877776E-12
1.6835192320072636E-7     -2.17665215633325E-12
3.367038464014527E-7      -2.1766240622144547E-12
5.050557696021791E-7      -2.1765772396313912E-12
6.734076928029054E-7      -2.17651168858406E-12
8.417596160036319E-7      -2.1764274090724604E-12
1.0101115392043582E-6     -2.1763244010965934E-12
1.1801802473622774E-6     -2.176201323885186E-12
1.3502489555201964E-6     -2.1760591426522372E-12
1.5203176636781154E-6     -2.1758978573977464E-12
1.6903863718360344E-6     -2.1757174681217142E-12
1.8604550799939534E-6     -2.17551797482414E-12
2.0305237881518723E-6     -2.1752993775050243E-12
2.200592664946635E-6      -2.1750616802643983E-12
2.370661541741397E-6      -2.174804895599847E-12
2.5407304185361593E-6     -2.174529023511371E-12
2.710799295330922E-6      -2.17423406399897E-12
2.880868172125684E-6      -2.173920017062644E-12
3.0509370489204466E-6     -2.1735868827023937E-12
3.2210059257152087E-6     -2.1732346711105094E-12
3.3910748025099717E-6     -2.172863396565358E-12
3.5611436793047335E-6     -2.172473059066939E-12
3.731212556099496E-6      -2.172063658615252E-12
3.901281432894258E-6      -2.1716351952102978E-12
4.07135030968902E-6       -2.1711876688520763E-12
4.2414191864837825E-6     -2.1707210930012395E-12
4.411488063278545E-6      -2.170235486184138E-12
4.581556940073307E-6      -2.1697308484007715E-12
4.751625816868069E-6      -2.1692071796511402E-12
4.921694693662831E-6      -2.168664479935245E-12
5.091763570457593E-6      -2.1681027492530846E-12
5.261832447252356E-6      -2.167522005647584E-12
5.4319013240471185E-6     -2.166922271149087E-12
5.601970200841881E-6      -2.1663035457575928E-12
5.772039077636643E-6      -2.1656658294731024E-12
5.942107954431407E-6      -2.1650091222956156E-12
6.112176831226169E-6      -2.1643334242251324E-12
6.282245708020931E-6      -2.16363875762134E-12
6.452314584815693E-6      -2.1629251482770268E-12
6.622383461610455E-6      -2.1621925961921924E-12
6.7924523384052175E-6     -2.161441101366837E-12
6.96252121519998E-6       -2.160670663800961E-12
7.132590091994742E-6      -2.1598812834945643E-12
7.302658968789505E-6      -2.159072986977518E-12
7.472727845584267E-6      -2.1582458038252144E-12
7.642796722379028E-6      -2.157399734037654E-12
7.812865599173792E-6      -2.156534777614837E-12
7.982934475968554E-6      -2.155650934556763E-12
8.153003352763316E-6      -2.154748204863432E-12
8.323072229558079E-6      -2.1538266191957225E-12
8.493141106352842E-6      -2.15288621093907E-12
8.663209983147605E-6      -2.1519269800934745E-12
8.833278859942367E-6      -2.1509489266589358E-12
9.003347736737129E-6      -2.149952050635454E-12
9.173416613531891E-6      -2.1489363520230288E-12
9.343485490326653E-6      -2.1479018656258417E-12
9.513554367121415E-6      -2.146848628632399E-12
9.683623243916178E-6      -2.145776641042702E-12
9.853692120710938E-6      -2.1446859028567497E-12
1.00237609975057E-5       -2.143576414074543E-12
