% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 14:24
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
0                         1.4805809958964975E-11
4.2016806722688943E-7     1.4805760860675663E-11
8.403361344537784E-7      1.480561361570842E-11
1.260504201680668E-6      1.480536822406324E-11
1.6806722689075569E-6     1.4805024685740132E-11
2.1008403361344462E-6     1.480458300073909E-11
2.521008403361336E-6      1.480404316906011E-11
2.941176470588225E-6      1.4803405190703205E-11
3.361344537815116E-6      1.480266903826624E-11
3.781512605042006E-6      1.480183476820285E-11
4.2016806722688975E-6     1.4800902380513028E-11
4.621848739495788E-6      1.4799871875196783E-11
5.0420168067226796E-6     1.479874325225411E-11
5.46218487394957E-6       1.4797516511685003E-11
5.882352941176461E-6      1.479619165348947E-11
6.302521008403353E-6      1.4794768662395773E-11
6.722689075630246E-6      1.479324761107023E-11
7.1428571428571385E-6     1.4791628499512834E-11
7.563025210084031E-6      1.4789911327723597E-11
7.983193277310924E-6      1.4788096095702513E-11
8.403361344537817E-6      1.4786182803449577E-11
8.823529411764708E-6      1.4784171450964795E-11
9.2436974789916E-6        1.4782062037493923E-11
9.66386554621849E-6       1.4779854649667946E-11
1.0084033613445381E-5     1.4777549287486855E-11
1.0504201680672271E-5     1.4775145950950654E-11
1.0924369747899162E-5     1.4772644640059345E-11
1.1344537815126054E-5     1.477004535481292E-11
1.1764705882352944E-5     1.476734809521139E-11
1.2184873949579835E-5     1.4764552875068357E-11
1.2605042016806726E-5     1.4761659795017404E-11
1.3025210084033616E-5     1.475866885505851E-11
1.3445378151260506E-5     1.4755580055191698E-11
1.3865546218487399E-5     1.475239339541696E-11
1.4285714285714289E-5     1.4749108875734285E-11
1.470588235294118E-5      1.474572649614369E-11
1.5126050420168068E-5     1.4742246284847886E-11
1.5546218487394955E-5     1.473866835658416E-11
1.5966386554621844E-5     1.4734992711352508E-11
1.638655462184873E-5      1.4731219349152933E-11
1.6806722689075617E-5     1.472734826998543E-11
1.7226890756302507E-5     1.4723379473850008E-11
1.7647058823529393E-5     1.4719312960746654E-11
1.8067226890756286E-5     1.4715148773190562E-11
1.8487394957983176E-5     1.4710887040016725E-11
1.8907563025210073E-5     1.4706527761225136E-11
1.9327731092436962E-5     1.47020709368158E-11
1.974789915966386E-5      1.4697516566788717E-11
2.0168067226890752E-5     1.4692864651143885E-11
2.0588235294117642E-5     1.4688115189881304E-11
2.1008403361344535E-5     1.4683268239788035E-11
2.1428571428571425E-5     1.4678323943747337E-11
2.1848739495798315E-5     1.467328230175921E-11
2.2268907563025204E-5     1.4668143313823655E-11
2.2689075630252094E-5     1.4662906979940675E-11
2.3109243697478987E-5     1.4657573300110266E-11
2.3529411764705877E-5     1.465214227433243E-11
2.394957983193277E-5      1.4646613973629158E-11
2.436974789915966E-5      1.46409885548668E-11
2.478991596638655E-5      1.4635266018045337E-11
2.521008403361344E-5      1.4629446363164784E-11
2.5630252100840332E-5     1.462352959022513E-11
2.6050420168067226E-5     1.4617515699226387E-11
2.6470588235294115E-5     1.4611404690168543E-11
2.6890756302521005E-5     1.4605196648266985E-11
2.7310924369747895E-5     1.4598891744297002E-11
2.7731092436974788E-5     1.4592489978258583E-11
2.8151260504201674E-5     1.4585991350151735E-11
2.8571428571428567E-5     1.4579395859976462E-11
2.899159663865546E-5      1.4572703507732757E-11
2.941176470588235E-5      1.456591429342062E-11
2.983193277310924E-5      1.4559028316399176E-11
3.025210084033613E-5      1.4552045761273703E-11
3.067226890756302E-5      1.4544966628044184E-11
3.109243697478991E-5      1.4537790916710635E-11
3.1512605042016806E-5     1.453051862727305E-11
3.1932773109243696E-5     1.4523149759731427E-11
3.2352941176470585E-5     1.4515684314085766E-11
3.2773109243697475E-5     1.4508122403783534E-11
3.3193277310924365E-5     1.4500464227173802E-11
3.3613445378151255E-5     1.4492709784256561E-11
3.4033613445378144E-5     1.4484859075031821E-11
3.445378151260504E-5      1.4476912099499577E-11
3.487394957983193E-5      1.4468868857659826E-11
3.529411764705882E-5      1.4460729349512574E-11
3.571428571428571E-5      1.4452493702530224E-11
3.61344537815126E-5       1.4444162128715968E-11
3.6554621848739496E-5     1.4435734628069793E-11
3.697478991596638E-5      1.4427211200591715E-11
3.7394957983193276E-5     1.4418591846281725E-11
3.781512605042017E-5      1.4409876565139824E-11
3.8235294117647055E-5     1.4401065357166014E-11
3.8655462184873945E-5     1.4392158363788014E-11
3.907563025210084E-5      1.4383155810568524E-11
3.949579831932773E-5      1.4374057697507538E-11
3.991596638655462E-5      1.4364864024605062E-11
4.033613445378151E-5      1.4355574791861094E-11
4.075630252100841E-5      1.4346189999275632E-11
4.11764705882353E-5       1.4336709646848679E-11
4.1596638655462194E-5     1.4327133889887601E-11
4.2016806722689084E-5     1.4317462967416478E-11
4.2436974789915967E-5     1.4307696879435308E-11
4.285714285714286E-5      1.429783562594409E-11
4.327731092436975E-5      1.428787920694283E-11
4.369747899159664E-5      1.427782762243152E-11
4.411764705882353E-5      1.4267680872410163E-11
4.453781512605042E-5      1.425743912598401E-11
4.495798319327731E-5      1.4247102635538022E-11
4.53781512605042E-5       1.4236671401072191E-11
4.5798319327731085E-5     1.4226145422586522E-11
4.621848739495798E-5      1.4215524700081017E-11
4.6638655462184864E-5     1.4204809233555674E-11
4.7058823529411754E-5     1.4193999023010489E-11
4.747899159663865E-5      1.4183094251262114E-11
4.789915966386554E-5      1.417209518395414E-11
4.831932773109242E-5      1.4161001821086552E-11
4.873949579831932E-5      1.4149814162659361E-11
4.915966386554621E-5      1.4138532208672569E-11
4.95798319327731E-5       1.4127155959126166E-11
4.999999999999999E-5      1.4115685414020161E-11
5.042016806722688E-5      1.4104120769789709E-11
5.0840336134453775E-5     1.409246230523608E-11
5.1260504201680665E-5     1.4080710020359268E-11
5.1680672268907555E-5     1.4068863915159283E-11
5.210084033613445E-5      1.405692398963612E-11
5.252100840336134E-5      1.4044890243789776E-11
5.294117647058823E-5      1.4032762677620255E-11
5.336134453781512E-5      1.4020541501085429E-11
5.378151260504201E-5      1.4008227006043972E-11
5.420168067226891E-5      1.3995819192495878E-11
5.462184873949579E-5      1.3983318060441153E-11
5.5042016806722686E-5     1.3970723609879796E-11
5.546218487394958E-5      1.39580358408118E-11
5.5882352941176466E-5     1.3945254753237175E-11
5.6302521008403355E-5     1.3932380570537483E-11
5.6722689075630245E-5     1.3919413597533292E-11
5.714285714285714E-5      1.3906353834224597E-11
5.7563025210084025E-5     1.3893201280611402E-11
5.798319327731092E-5      1.3879955936693705E-11
5.840336134453782E-5      1.3866617802471506E-11
5.88235294117647E-5       1.3853186877944808E-11
5.92436974789916E-5       1.3839663399817643E-11
5.966386554621848E-5      1.3826047685783834E-11
6.008403361344538E-5      1.381233973584337E-11
6.050420168067226E-5      1.379853954999626E-11
6.0924369747899156E-5     1.3784647128242506E-11
6.134453781512605E-5      1.37706624705821E-11
6.176470588235294E-5      1.3756585577015045E-11
6.218487394957983E-5      1.374241669746549E-11
6.260504201680672E-5      1.3728156162422596E-11
6.302521008403361E-5      1.3713803971886363E-11
6.34453781512605E-5       1.3699360125856793E-11
6.386554621848739E-5      1.3684824624333884E-11
6.428571428571429E-5      1.3670197467317637E-11
6.470588235294117E-5      1.3655478654808052E-11
6.512605042016805E-5      1.3640668449847753E-11
6.554621848739495E-5      1.3625767195658127E-11
6.596638655462185E-5      1.3610774892239167E-11
6.638655462184873E-5      1.3595691539590878E-11
6.680672268907563E-5      1.358051713771326E-11
6.722689075630252E-5      1.3565251686606314E-11
