% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:40
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(xi)
0                         1.355708133860847E-10
1.6835192320072636E-7     1.3557068838611241E-10
3.367038464014527E-7      1.3557031339411428E-10
5.050557696021791E-7      1.3556968841009025E-10
6.734076928029054E-7      1.3556881343404034E-10
8.417596160036319E-7      1.3556768846596458E-10
1.0101115392043582E-6     1.355663135058629E-10
1.1801802473622774E-6     1.3556467070482322E-10
1.3502489555201964E-6     1.355627728213649E-10
1.5203176636781154E-6     1.3556061985548797E-10
1.6903863718360344E-6     1.3555821180719244E-10
1.8604550799939534E-6     1.3555554867647832E-10
2.0305237881518723E-6     1.355526304633456E-10
2.200592664946635E-6      1.3554945718957961E-10
2.370661541741397E-6      1.3554602890149027E-10
2.5407304185361593E-6     1.3554234559907755E-10
2.710799295330922E-6      1.355384072823415E-10
2.880868172125684E-6      1.355342139512821E-10
3.0509370489204466E-6     1.3552976560589934E-10
3.2210059257152087E-6     1.3552506228696206E-10
3.3910748025099717E-6     1.3552010405712168E-10
3.5611436793047335E-6     1.3551489091637816E-10
3.731212556099496E-6      1.3550942286473153E-10
3.901281432894258E-6      1.3550369990218182E-10
4.07135030968902E-6       1.3549772202872898E-10
4.2414191864837825E-6     1.3549148930305674E-10
4.411488063278545E-6      1.354850018050657E-10
4.581556940073307E-6      1.354782595347558E-10
4.751625816868069E-6      1.3547126249212704E-10
4.921694693662831E-6      1.3546401067717947E-10
5.091763570457593E-6      1.3545650408991307E-10
5.261832447252356E-6      1.3544874280596665E-10
5.4319013240471185E-6     1.3544072692294196E-10
5.601970200841881E-6      1.3543245644083892E-10
5.772039077636643E-6      1.3542393135965757E-10
5.942107954431407E-6      1.3541515167939793E-10
6.112176831226169E-6      1.3540611740005996E-10
6.282245708020931E-6      1.3539682861442327E-10
6.452314584815693E-6      1.3538728543754183E-10
6.622383461610455E-6      1.3537748786941566E-10
6.7924523384052175E-6     1.353674359100447E-10
6.96252121519998E-6       1.3535712955942902E-10
7.132590091994742E-6      1.3534656881756858E-10
7.302658968789505E-6      1.3533575379446993E-10
7.472727845584267E-6      1.353246846225909E-10
7.642796722379028E-6      1.3531336130193146E-10
7.812865599173792E-6      1.353017838324916E-10
7.982934475968554E-6      1.3528995221427134E-10
8.153003352763316E-6      1.3527786644727072E-10
8.323072229558079E-6      1.352655266587273E-10
8.493141106352842E-6      1.3525293299844783E-10
8.663209983147605E-6      1.3524008546643221E-10
8.833278859942367E-6      1.3522698406268051E-10
9.003347736737129E-6      1.3521362878719273E-10
9.173416613531891E-6      1.3520001963996886E-10
9.343485490326653E-6      1.3518615676543882E-10
9.513554367121415E-6      1.351720403307239E-10
9.683623243916178E-6      1.3515767033582412E-10
9.853692120710938E-6      1.3514304678073946E-10
1.00237609975057E-5       1.3512816966547E-10
1.0193829874300462E-5     1.3511303899001563E-10
1.0363898751095225E-5     1.3509765491599043E-10
1.0533967627889988E-5     1.350820176277856E-10
1.070403650468475E-5      1.3506612712540107E-10
1.0874105381479513E-5     1.3504998340883692E-10
1.1044174258274277E-5     1.3503358647809314E-10
1.1214243135069039E-5     1.350169363331697E-10
1.1384312011863803E-5     1.3500003315287056E-10
1.1554380888658565E-5     1.3498287713880596E-10
1.1724449765453327E-5     1.349654682909759E-10
1.1894518642248089E-5     1.3494780660938036E-10
1.2064587519042851E-5     1.3492989209401937E-10
1.2234656395837613E-5     1.349117247448929E-10
1.2404725272632376E-5     1.3489330475799262E-10
1.257479414942714E-5      1.3487463235209605E-10
1.27448630262219E-5       1.3485570752720315E-10
1.2914931903016664E-5     1.348365302833139E-10
1.3085000779811424E-5     1.3481710062042838E-10
1.3255069656606186E-5     1.3479741853854652E-10
1.3425138533400948E-5     1.3477748425083267E-10
1.3595207410195712E-5     1.347572979931812E-10
1.3765276286990473E-5     1.3473685976559212E-10
1.3935345163785237E-5     1.347161695680655E-10
1.4105414040579997E-5     1.346952274006013E-10
1.427548291737476E-5      1.346740332631995E-10
1.4445551794169521E-5     1.3465258738617823E-10
1.4615620670964285E-5     1.3463089002249545E-10
1.4785689547759046E-5     1.3460894117215111E-10
1.495575842455381E-5      1.3458674083514523E-10
1.5125827301348572E-5     1.3456428901147782E-10
1.5295896178143334E-5     1.3454158570114885E-10
1.5465965054938098E-5     1.3451863115161146E-10
1.5636033931732858E-5     1.3449542563283067E-10
1.580610280852762E-5      1.3447196914480644E-10
1.5976171685322383E-5     1.344482616875388E-10
1.6146240562117146E-5     1.344243032610278E-10
1.6316309438911907E-5     1.3440009386527336E-10
1.648637831570667E-5      1.3437563376484111E-10
1.665644719250143E-5      1.3435092324664745E-10
1.6826516069296195E-5     1.3432596231069237E-10
1.6996584946090956E-5     1.343007509569759E-10
1.716665382288572E-5      1.3427528918549806E-10
1.733672269968048E-5      1.342495769962588E-10
1.7506791576475244E-5     1.3422361467090252E-10
1.7676860453270008E-5     1.341974025132455E-10
1.7846929330064768E-5     1.3417094052328776E-10
1.8016998206859532E-5     1.341442287010292E-10
1.8187067083654292E-5     1.3411726704646998E-10
1.8357135960449056E-5     1.3409005555960995E-10
1.852720483724382E-5      1.3406259453914982E-10
1.8697273714038584E-5     1.3403488430575119E-10
1.8867342590833344E-5     1.3400692485941402E-10
1.9037411467628108E-5     1.339787162001383E-10
1.9207480344422872E-5     1.339502583279241E-10
1.9377549221217633E-5     1.3392155124277132E-10
1.9547618098012396E-5     1.3389259526037474E-10
1.9717686974807157E-5     1.3386339071819907E-10
1.9887755851601917E-5     1.3383393761624432E-10
2.005782472839668E-5      1.338042359545105E-10
2.0227893605191438E-5     1.3377428573299763E-10
2.0397962481986202E-5     1.3374408695170564E-10
2.0568031358780966E-5     1.3371363994326754E-10
2.073810023557573E-5      1.3368294506190308E-10
2.090816911237049E-5      1.3365200230761227E-10
2.1078237989165254E-5     1.3362081168039512E-10
2.1248306865960018E-5     1.3358937318025165E-10
2.141837574275478E-5      1.335576868071818E-10
2.1588444619549542E-5     1.3352575291069544E-10
2.1758513496344303E-5     1.334935718617172E-10
2.1928582373139063E-5     1.3346114366024713E-10
2.2098651249933827E-5     1.3342846830628517E-10
2.2268720126728584E-5     1.3339554579983137E-10
2.2438789003523348E-5     1.333623761408857E-10
2.2608857880318112E-5     1.3332895969577203E-10
2.2778926757112876E-5     1.3329529685206644E-10
2.2948995633907636E-5     1.3326138760976898E-10
2.3119064510702397E-5     1.3322723196887962E-10
2.3289133387497164E-5     1.3319282992939843E-10
2.3459202264291924E-5     1.3315818149132534E-10
2.3629271141086688E-5     1.3312328703773892E-10
2.379934001788145E-5      1.3308814697281042E-10
2.396940889467621E-5      1.3305276129653986E-10
2.4139477771470973E-5     1.3301713000892725E-10
2.4309546648265737E-5     1.3298125310997259E-10
2.4479615525060497E-5     1.3294513059967584E-10
2.464968440185526E-5      1.329087628778062E-10
2.481975327865002E-5      1.3287215036506866E-10
2.4989822155444785E-5     1.3283529306146324E-10
2.515989103223955E-5      1.3279819096698995E-10
2.532995990903431E-5      1.3276084408164879E-10
2.5500028785829074E-5     1.3272325240543976E-10
2.5670097662623834E-5     1.3268541635476E-10
2.5840166539418598E-5     1.3264733636678214E-10
2.6010235416213362E-5     1.3260901244150617E-10
2.6180304293008122E-5     1.325704445789321E-10
2.6350373169802883E-5     1.3253163277905997E-10
2.6520442046597647E-5     1.324925770418897E-10
2.669051092339241E-5      1.324532778003833E-10
2.686057980018717E-5      1.3241373550811182E-10
2.703064867698193E-5      1.323739501650752E-10
2.7200717553776692E-5     1.323339217712735E-10
2.7370786430571456E-5     1.3229365032670666E-10
2.7540855307366216E-5     1.3225313583137477E-10
2.771092418416098E-5      1.322123787347335E-10
2.7880993060955744E-5     1.3217137950668007E-10
2.8051061937750504E-5     1.3213013814721447E-10
2.8221130814545265E-5     1.3208865465633674E-10
2.839119969134003E-5      1.320469290340468E-10
2.8561268568134793E-5     1.3200496128034477E-10
2.8731337444929556E-5     1.3196275186111163E-10
2.890140632172432E-5      1.3192030126249577E-10
2.907147519851908E-5      1.3187760948449713E-10
2.9241544075313845E-5     1.318346765271158E-10
2.9411612952108605E-5     1.3179150239035167E-10
2.958168182890337E-5      1.3174808707420482E-10
2.975175070569813E-5      1.3170443106090673E-10
2.9921819582492897E-5     1.316605348527788E-10
3.0091888459287654E-5     1.3161639844982108E-10
3.0261957336082418E-5     1.3157202185203355E-10
3.0432026212877178E-5     1.315274050594162E-10
3.060209508967194E-5      1.3148254807196905E-10
3.07721639664667E-5       1.314374513881917E-10
3.0942232843261466E-5     1.313921155264981E-10
3.111230172005623E-5      1.313465404868882E-10
3.1282370596850994E-5     1.3130072626936205E-10
3.145243947364575E-5      1.3125467287391967E-10
3.1622508350440515E-5     1.31208380300561E-10
3.179257722723528E-5      1.3116184906399229E-10
3.196264610403004E-5      1.3111507969863725E-10
3.21327149808248E-5       1.3106807220449582E-10
