% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 12:35
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(p)
0                         NaN
1.6835192320072636E-7     -0.020989991184902017
3.367038464014527E-7      -0.020983348332495384
5.050557696021791E-7      -0.02098194657239745
6.734076928029054E-7      -0.02098578590460677
8.417596160036319E-7      -0.020994866329123625
1.0101115392043582E-6     -0.02100861246939368
1.1801802473622774E-6     -0.02099531671902549
1.3502489555201964E-6     -0.020986924831148897
1.5203176636781154E-6     -0.020982861429209458
1.6903863718360344E-6     -0.02098312651320752
1.8604550799939534E-6     -0.020987720083142036
2.0305237881518723E-6     -0.02099433744845089
2.200592664946635E-6      -0.02098744686108959
2.370661541741397E-6      -0.02098416946343915
2.5407304185361593E-6     -0.0209822005649361
2.710799295330922E-6      -0.02098154016558057
2.880868172125684E-6      -0.020982188265372795
3.0509370489204466E-6     -0.020982736290957406
3.2210059257152087E-6     -0.020981299909252103
3.3910748025099717E-6     -0.020981498295332753
3.5611436793047335E-6     -0.02098192287584433
3.731212556099496E-6      -0.020982573650786332
3.901281432894258E-6      -0.0209834506201596
4.07135030968902E-6       -0.020983865403655703
4.2414191864837825E-6     -0.020984506470226694
4.411488063278545E-6      -0.020985503985277723
4.581556940073307E-6      -0.020986169568500558
4.751625816868069E-6      -0.0209865032198964
4.921694693662831E-6      -0.02098650493946419
5.091763570457593E-6      -0.02098582272660631
5.261832447252356E-6      -0.02098831257610842
5.4319013240471185E-6     -0.020990333673652457
5.601970200841881E-6      -0.020991534018640602
5.772039077636643E-6      -0.02099191361107331
5.942107954431407E-6      -0.020991472450949306
6.112176831226169E-6      -0.020989679695714317
6.282245708020931E-6      -0.020993171679700537
6.452314584815693E-6      -0.020996005416075922
6.622383461610455E-6      -0.020997650062285104
6.7924523384052175E-6     -0.020998105618328877
6.96252121519998E-6       -0.02099737208420622
7.132590091994742E-6      -0.020995011829525345
7.302658968789505E-6      -0.020999561530589718
7.472727845584267E-6      -0.021003056706609555
7.642796722379028E-6      -0.021005059727191702
7.812865599173792E-6      -0.02100557059233661
7.982934475968554E-6      -0.021004589302044123
8.153003352763316E-6      -0.021001836102050017
8.323072229558079E-6      -0.02100734341291463
8.493141106352842E-6      -0.021011379807183157
8.663209983147605E-6      -0.0210136655305902
8.833278859942367E-6      -0.02101420058313656
9.003347736737129E-6      -0.02101298496482166
9.173416613531891E-6      -0.021009831552278594
9.343485490326653E-6      -0.021016138792370954
9.513554367121415E-6      -0.021020666040806504
9.683623243916178E-6      -0.021023226174218448
9.853692120710938E-6      -0.021023819192605882
1.00237609975057E-5       -0.021022445095970226
1.0193829874300462E-5     -0.02101894434439439
1.0363898751095225E-5     -0.02102588797210883
1.0533967627889988E-5     -0.021030857458323764
1.070403650468475E-5      -0.02103369326312399
1.0874105381479513E-5     -0.021034395386509728
1.1044174258274277E-5     -0.021032963828480924
1.1214243135069039E-5     -0.021029244848197196
1.1384312011863803E-5     -0.02103668964053682
1.1554380888658565E-5     -0.021042037978534926
1.1724449765453327E-5     -0.021045136121352444
1.1894518642248089E-5     -0.021045984068988347
1.2064587519042851E-5     -0.021044581821443233
1.2234656395837613E-5     -0.021040784893203126
1.2404725272632376E-5     -0.021048615399548696
1.257479414942714E-5      -0.02105427147652553
1.27448630262219E-5       -0.021057608638621217
1.2914931903016664E-5     -0.021058626885834278
1.3085000779811424E-5     -0.021057326218165875
1.3255069656606186E-5     -0.021053567532950082
1.3425138533400948E-5     -0.021061667535587227
1.3595207410195712E-5     -0.021067565224035106
1.3765276286990473E-5     -0.021071121495628092
1.3935345163785237E-5     -0.02107233635036522
1.4105414040579997E-5     -0.02107120978824754
1.427548291737476E-5      -0.02106759784685218
1.4445551794169521E-5     -0.021075844395244816
1.4615620670964285E-5     -0.02108191808263475
1.4785689547759046E-5     -0.021085674946600897
1.495575842455381E-5      -0.021087114987143715
1.5125827301348572E-5     -0.021086238204262236
1.5295896178143334E-5     -0.0210828910064558
1.5465965054938098E-5     -0.021091169866864365
1.5636033931732858E-5     -0.021097354854704552
1.580610280852762E-5      -0.021101292378474742
1.5976171685322383E-5     -0.021102982438175454
1.6146240562117146E-5     -0.021102425033806025
1.6316309438911907E-5     -0.02109945762391107
1.648637831570667E-5      -0.021107680806227835
1.665644719250143E-5      -0.021113923663240577
1.6826516069296195E-5     -0.021118023653494227
1.6996584946090956E-5     -0.021119980776988158
1.716665382288572E-5      -0.021119795033722365
1.733672269968048E-5      -0.021117280211941418
1.7506791576475244E-5     -0.021125381927819407
1.7676860453270008E-5     -0.021131653996503928
1.7846929330064768E-5     -0.021135910206239526
1.8016998206859532E-5     -0.02113815055702627
1.8187067083654292E-5     -0.02113837504886384
1.8357135960449056E-5     -0.02113642520856636
1.852720483724382E-5      -0.021144431562513083
1.8697273714038584E-5     -0.02115071004852404
1.8867342590833344E-5     -0.021155102193413544
1.9037411467628108E-5     -0.021157607997180968
1.9207480344422872E-5     -0.021158227459826713
1.9377549221217633E-5     -0.02115679525653507
1.9547618098012396E-5     -0.021164729451519728
1.9717686974807157E-5     -0.021171051025370834
1.9887755851601917E-5     -0.021175594653274968
2.005782472839668E-5      -0.02117836033523116
2.0227893605191438E-5     -0.021179348071239345
2.0397962481986202E-5     -0.021178372793509623
2.0568031358780966E-5     -0.021186291041748007
2.073810023557573E-5      -0.021192698788004307
2.090816911237049E-5      -0.021197410964489183
2.1078237989165254E-5     -0.021200427571202128
2.1248306865960018E-5     -0.02120174860814308
2.141837574275478E-5      -0.021201154789415116
2.1588444619549542E-5     -0.021209115614830458
2.1758513496344303E-5     -0.02121565637761014
2.1928582373139063E-5     -0.021220557791857355
2.2098651249933827E-5     -0.021223819857571418
2.2268720126728584E-5     -0.021225442574752697
2.2438789003523348E-5     -0.021225161187784176
2.2608857880318112E-5     -0.021233217578347542
2.2778926757112876E-5     -0.021239934235508358
2.2948995633907636E-5     -0.02124504640365073
2.3119064510702397E-5     -0.021248554082773746
2.3289133387497164E-5     -0.021250457272878744
2.3459202264291924E-5     -0.021250455280376578
2.3629271141086688E-5     -0.021258667590038142
2.379934001788145E-5      -0.021265594155097278
2.396940889467621E-5      -0.021270934281965612
2.4139477771470973E-5     -0.02127468797064264
2.4309546648265737E-5     -0.02127685522112855
2.4479615525060497E-5     -0.02127709825490418
2.464968440185526E-5      -0.02128550313302326
2.481975327865002E-5      -0.021292666378933168
2.4989822155444785E-5     -0.021298250214115664
2.515989103223955E-5      -0.021302254638569953
2.532995990903431E-5      -0.021304679652296068
2.5500028785829074E-5     -0.021305156040023927
2.5670097662623834E-5     -0.0213137837743294
2.5840166539418598E-5     -0.021321201640392525
2.6010235416213362E-5     -0.02132704042294325
2.6180304293008122E-5     -0.02133130012198089
2.6350373169802883E-5     -0.021333980737505538
2.6520442046597647E-5     -0.02133469384279208
2.669051092339241E-5      -0.02134357885143164
2.686057980018717E-5      -0.021351266931715917
2.703064867698193E-5      -0.021357369656920408
2.7200717553776692E-5     -0.02136188702704523
2.7370786430571456E-5     -0.021364819042090012
2.7540855307366216E-5     -0.021365750026447587
2.771092418416098E-5      -0.021374909198189303
2.7880993060955744E-5     -0.02138288640201214
2.8051061937750504E-5     -0.021389265962308432
2.8221130814545265E-5     -0.02139404787907756
2.839119969134003E-5      -0.021397232152320783
2.8561268568134793E-5     -0.021398383261640678
2.8731337444929556E-5     -0.02140784644221929
2.890140632172432E-5      -0.021416129232013453
2.907147519851908E-5      -0.02142279611062758
2.9241544075313845E-5     -0.02142784707806116
2.9411612952108605E-5     -0.021431282134313827
2.958168182890337E-5      -0.021432641777789356
2.975175070569813E-5      -0.021442428995409032
2.9921819582492897E-5     -0.021451035919283983
3.0091888459287654E-5     -0.021458003047818745
3.0261957336082418E-5     -0.021463330381013206
3.0432026212877178E-5     -0.021467017918866602
3.060209508967194E-5      -0.021468554818548792
3.07721639664667E-5       -0.021478659275746728
3.0942232843261466E-5     -0.021487609613192547
3.111230172005623E-5      -0.021494894988056085
3.1282370596850994E-5     -0.021500515400336893
3.145243947364575E-5      -0.0215044708500351
3.1622508350440515E-5     -0.021506258377128773
3.179257722723528E-5      -0.02151674875835054
3.196264610403004E-5      -0.0215260482685976
3.21327149808248E-5       -0.021533653947848667
3.2302783857619563E-5     -0.021539565796103114
3.247285273441433E-5      -0.021543783813361223
3.264292161120909E-5      -0.021545777671716018
3.2812990488003855E-5     -0.021556654559145735
3.298305936479862E-5      -0.021566330903004322
3.315312824159338E-5      -0.021574276375385445
3.332319711838814E-5      -0.021580490976289425
3.3493265995182904E-5     -0.021584974705716024
3.366333487197767E-5      -0.02158718180491727
3.383340374877243E-5      -0.021598485492892776
3.400347262556719E-5      -0.021608559717506224
3.417354150236195E-5      -0.02161685872001037
3.434361037915671E-5      -0.021623382500405713
3.4513679255951466E-5     -0.021628131058691383
3.468374813274623E-5      -0.021630529553962573
3.4853817009540994E-5     -0.02164227972577829
3.502388588633576E-5      -0.021652777963923106
3.519395476313052E-5      -0.021661449427492645
3.5364023639925286E-5     -0.021668294116486162
3.553409251672005E-5      -0.021673312030904744
3.5704161393514813E-5     -0.02167590848568217
3.587423027030958E-5      -0.021688141897542333
3.604429914710434E-5      -0.02169908543491695
3.6214368023899105E-5     -0.021708144412742603
3.638443690069387E-5      -0.0217153188310182
3.655450577748863E-5      -0.021720608689743605
3.672457465428339E-5      -0.021723394637183376
3.6894643531078154E-5     -0.021736137035118886
3.706471240787292E-5      -0.021747550122790327
3.7234781284667675E-5     -0.021757014548462343
3.740485016146244E-5      -0.021764530312135388
3.7574919038257195E-5     -0.02177009741380801
3.774498791505196E-5      -0.021773056702970854
3.791505679184672E-5      -0.02178631942731899
3.808512566864148E-5      -0.02179822528749551
3.8255194545436244E-5     -0.021808115132989764
3.842526342223101E-5      -0.02181598896380209
3.8595332299025765E-5     -0.021821846779932583
3.876540117582053E-5      -0.021824991799192853
3.893547005261529E-5      -0.021838790544481047
3.910553892941006E-5      -0.021851204456392503
3.927560780620482E-5      -0.02186153675273989
3.9445676682999584E-5     -0.02186978743352355
3.961574555979435E-5      -0.02187595649874268
3.978581443658911E-5      -0.02187932323897239
3.995588331338387E-5      -0.021893683418417978
4.012595219017863E-5      -0.02190661918585002
4.02960210669734E-5       -0.021917409831844314
4.0466089943768154E-5     -0.02192605535640039
4.063615882056292E-5      -0.021932555759518496
4.0806227697357675E-5     -0.021936180287734284
4.097629657415244E-5      -0.02195113412306461
4.11463654509472E-5       -0.021964608899000097
4.1316434327741966E-5     -0.02197587386207607
4.148650320453673E-5      -0.021984929012292986
4.165657208133149E-5      -0.021991774349650276
4.182664095812625E-5      -0.02199567596921693
4.1996709834921015E-5     -0.02201126210072553
4.216677871171578E-5      -0.02202530108734034
4.233684758851054E-5      -0.022037059024130248
4.2506916465305307E-5     -0.02204653591109553
4.267698534210007E-5      -0.022053731748236025
4.2847054218894834E-5     -0.0220579068164522
4.30171230956896E-5       -0.02207416442120404
4.3187191972484355E-5     -0.022088800711901502
4.335726084927912E-5      -0.022101075969445574
4.3527329726073876E-5     -0.02211099019383539
4.369739860286864E-5      -0.022118543385071097
4.38674674796634E-5       -0.022122980819744356
4.403753635645816E-5      -0.022139941939075095
4.4207605233252925E-5     -0.022155210054571814
4.437767411004769E-5      -0.02216803044282592
4.454774298684245E-5      -0.022178403103837292
4.471781186363721E-5      -0.022186328037605594
4.4887880740431973E-5     -0.022191048071313994
4.505794961722674E-5      -0.022208765224375145
4.52280184940215E-5       -0.022224696131909093
4.539808737081626E-5      -0.022238083621099525
