% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:31
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
0                         1.1976318837318112E-10
4.0816326530612243E-7     1.1976258586426032E-10
8.163265306122445E-7      1.1976078027318518E-10
1.224489795918367E-6      1.197577715999556E-10
1.632653061224489E-6      1.1975355984457164E-10
2.0408163265306117E-6     1.1974814500703332E-10
2.448979591836734E-6      1.1974152708734055E-10
2.857142857142856E-6      1.1973370608549345E-10
3.265306122448978E-6      1.197246821699184E-10
3.6734693877551007E-6     1.1971445708871024E-10
4.0816326530612225E-6     1.1970303084186882E-10
4.489795918367345E-6      1.1969040342939425E-10
4.897959183673468E-6      1.1967657485128654E-10
5.30612244897959E-6       1.1966154510754556E-10
5.714285714285712E-6      1.1964531419817145E-10
6.1224489795918346E-6     1.1962788331341835E-10
6.530612244897958E-6      1.1960925512978167E-10
6.9387755102040806E-6     1.1958942964726133E-10
7.3469387755102015E-6     1.195684068658574E-10
7.755102040816326E-6      1.1954618678556989E-10
8.163265306122448E-6      1.195227694063987E-10
8.571428571428571E-6      1.1949815472834396E-10
8.979591836734694E-6      1.1947234473457382E-10
9.387755102040816E-6      1.1944534327791588E-10
9.795918367346939E-6      1.194171503583701E-10
1.020408163265306E-5      1.1938776597593652E-10
1.0612244897959184E-5     1.193571901306151E-10
1.1020408163265308E-5     1.193254228224059E-10
1.1428571428571429E-5     1.1929246405130889E-10
1.1836734693877552E-5     1.1925831648292417E-10
1.2244897959183674E-5     1.192229851589791E-10
1.2653061224489795E-5     1.191864700794736E-10
1.3061224489795918E-5     1.1914877124440775E-10
1.346938775510204E-5      1.1910988865378154E-10
1.3877551020408165E-5     1.1906982230759491E-10
1.4285714285714285E-5     1.190285722058479E-10
1.4693877551020408E-5     1.189861421233177E-10
1.510204081632653E-5      1.1894253784131686E-10
1.5510204081632655E-5     1.1889775935984536E-10
1.5918367346938776E-5     1.1885180667890332E-10
1.63265306122449E-5       1.1880467979849064E-10
1.6734693877551024E-5     1.187563787186073E-10
1.7142857142857145E-5     1.1870690343925335E-10
1.755102040816327E-5      1.186562588756328E-10
1.795918367346939E-5      1.1860445160253744E-10
1.8367346938775515E-5     1.1855148161996726E-10
1.8775510204081636E-5     1.184973489279223E-10
1.9183673469387756E-5     1.1844205352640254E-10
1.959183673469388E-5      1.1838559541540795E-10
2.0E-5                    1.1832797459493857E-10
2.042553191489362E-5      1.182666670604583E-10
2.0851063829787234E-5     1.1820411100794248E-10
2.1276595744680852E-5     1.1814030643739103E-10
2.1702127659574467E-5     1.18075253348804E-10
2.212765957446808E-5      1.180089517421814E-10
2.2553191489361703E-5     1.1794140161752314E-10
2.2978723404255317E-5     1.1787260297482932E-10
2.3404255319148935E-5     1.178025591072625E-10
2.382978723404255E-5      1.1773128327268517E-10
2.4255319148936165E-5     1.176587754710973E-10
2.4680851063829783E-5     1.1758503570249897E-10
2.51063829787234E-5       1.1751006396689013E-10
2.5531914893617015E-5     1.1743386026427072E-10
2.5957446808510633E-5     1.1735642459464086E-10
2.638297872340425E-5      1.1727776270040396E-10
2.6808510638297866E-5     1.1719788691356885E-10
2.7234042553191484E-5     1.171167972341355E-10
2.7659574468085102E-5     1.1703449366210394E-10
2.808510638297872E-5      1.169509761974742E-10
2.8510638297872334E-5     1.1686624484024622E-10
2.8936170212765952E-5     1.1678029959042005E-10
2.936170212765957E-5      1.1669314773711654E-10
2.9787234042553185E-5     1.166048016522892E-10
3.02127659574468E-5       1.1651526133593808E-10
3.063829787234042E-5      1.1642452678806315E-10
3.106382978723404E-5      1.1633259800866443E-10
3.148936170212765E-5      1.1623947499774189E-10
3.191489361702127E-5      1.1614515775529555E-10
3.2340425531914886E-5     1.1604965450767902E-10
3.2765957446808504E-5     1.1595297802724893E-10
3.319148936170212E-5      1.1585512831400529E-10
3.361702127659574E-5      1.1575610536794806E-10
3.404255319148936E-5      1.1565590918907732E-10
3.4468085106382976E-5     1.1555453977739297E-10
3.4893617021276594E-5     1.1545199713289507E-10
3.531914893617021E-5      1.1534829024266136E-10
3.574468085106383E-5      1.1524343232319988E-10
3.617021276595744E-5      1.1513742337451073E-10
3.659574468085106E-5      1.1503026339659384E-10
3.702127659574468E-5      1.1492195238944929E-10
3.744680851063829E-5      1.1481249035307697E-10
3.7872340425531907E-5     1.1470187728747696E-10
3.8297872340425525E-5     1.1459012285907708E-10
3.8723404255319136E-5     1.1447724070967269E-10
3.914893617021275E-5      1.1436323083926378E-10
3.957446808510637E-5      1.1424809324785037E-10
3.999999999999998E-5      1.141318279354325E-10
4.04255319148936E-5       1.1401443490201006E-10
4.085106382978722E-5      1.1389591414758316E-10
4.127659574468084E-5      1.1377627596082724E-10
4.1702127659574455E-5     1.1365553437968104E-10
4.2127659574468066E-5     1.1353368940414456E-10
4.255319148936169E-5      1.1341074103421783E-10
4.29787234042553E-5       1.1328668926990086E-10
4.340425531914893E-5      1.1316153411119357E-10
4.382978723404254E-5      1.1303527555809604E-10
4.4255319148936156E-5     1.1290792447333834E-10
4.4680851063829774E-5     1.1277949526170388E-10
4.5106382978723385E-5     1.1264998792319263E-10
4.5531914893616997E-5     1.1251940245780463E-10
4.5957446808510615E-5     1.1238773886553986E-10
4.638297872340423E-5      1.1225499714639829E-10
4.680851063829785E-5      1.1212117730037996E-10
4.7234042553191475E-5     1.1198629072126027E-10
4.765957446808508E-5      1.1185035215286014E-10
4.8085106382978704E-5     1.1171336159517951E-10
4.851063829787232E-5      1.1157531904821844E-10
4.893617021276594E-5      1.1143622451197694E-10
4.936170212765956E-5      1.1129607798645493E-10
4.9787234042553176E-5     1.1115487947165248E-10
5.02127659574468E-5       1.1101264085326708E-10
5.0638297872340406E-5     1.1086937718796135E-10
5.1063829787234024E-5     1.1072508847573525E-10
5.148936170212764E-5      1.105797747165888E-10
5.191489361702126E-5      1.1043343591052204E-10
5.234042553191487E-5      1.102860720575349E-10
5.276595744680849E-5      1.1013768315762743E-10
5.319148936170211E-5      1.0998828155245327E-10
5.3617021276595725E-5     1.0983788258684754E-10
5.404255319148934E-5      1.0968648626081019E-10
5.446808510638296E-5      1.0953409257434127E-10
5.489361702127658E-5      1.0938070152744081E-10
5.53191489361702E-5       1.092263131201087E-10
5.5744680851063815E-5     1.0907092735234503E-10
5.617021276595743E-5      1.0891455698845892E-10
5.6595744680851044E-5     1.0875721763817255E-10
5.7021276595744655E-5     1.085989093014859E-10
5.744680851063827E-5      1.08439631978399E-10
5.7872340425531884E-5     1.0827938566891184E-10
5.82978723404255E-5       1.0811817037302441E-10
5.8723404255319114E-5     1.0795598609073673E-10
5.914893617021274E-5      1.0779284597803626E-10
5.9574468085106356E-5     1.0762876588748823E-10
5.999999999999997E-5      1.0746374581909263E-10
6.042553191489359E-5      1.0729778577284945E-10
6.085106382978722E-5      1.0713088574875876E-10
6.127659574468083E-5      1.0696304574682043E-10
6.170212765957445E-5      1.0679426576703457E-10
6.212765957446806E-5      1.06624559328123E-10
6.255319148936169E-5      1.0645394250459397E-10
6.297872340425529E-5      1.0628241529644747E-10
6.340425531914891E-5      1.0610997770368349E-10
6.382978723404252E-5      1.0593662972630212E-10
6.425531914893613E-5      1.0576237136430322E-10
6.468085106382975E-5      1.0558720261768688E-10
6.510638297872337E-5      1.0541113734075158E-10
6.553191489361698E-5      1.0523419181011172E-10
6.59574468085106E-5       1.0505636602576732E-10
6.638297872340422E-5      1.0487765998771836E-10
6.680851063829784E-5      1.0469807369596488E-10
6.723404255319147E-5      1.0451760715050683E-10
6.765957446808508E-5      1.0433626035134424E-10
6.80851063829787E-5       1.0415404746280431E-10
6.851063829787231E-5      1.0397098494474367E-10
6.893617021276593E-5      1.037870727971623E-10
6.936170212765955E-5      1.0360231102006026E-10
6.978723404255316E-5      1.0341669961343756E-10
7.021276595744679E-5      1.032302385772941E-10
7.06382978723404E-5       1.0304292791162998E-10
7.106382978723402E-5      1.0285478206669988E-10
7.148936170212763E-5      1.0266581766764526E-10
7.191489361702124E-5      1.0247603471446613E-10
7.234042553191486E-5      1.022854332071625E-10
7.276595744680848E-5      1.0209401314573435E-10
7.31914893617021E-5       1.0190177453018168E-10
7.361702127659572E-5      1.0170871736050452E-10
7.404255319148934E-5      1.0151485635010534E-10
7.446808510638294E-5      1.0132020827229413E-10
7.489361702127655E-5      1.0112477312707091E-10
7.531914893617019E-5      1.0092855091443568E-10
7.574468085106379E-5      1.0073154163438844E-10
7.617021276595741E-5      1.0053374528692918E-10
7.659574468085102E-5      1.003351618720579E-10
7.702127659574463E-5      1.0013580634474542E-10
7.744680851063826E-5      9.993569561015163E-11
7.787234042553187E-5      9.97348296682765E-11
7.82978723404255E-5       9.953320851912009E-11
7.87234042553191E-5       9.933083216268241E-11
7.914893617021272E-5      9.912770059896338E-11
7.957446808510634E-5      9.892381382796308E-11
7.999999999999997E-5      9.871918702575282E-11
8.042553191489356E-5      9.851383721375856E-11
8.085106382978717E-5      9.830776439198025E-11
8.12765957446808E-5       9.810096856041792E-11
8.170212765957441E-5      9.789344971907163E-11
8.212765957446802E-5      9.768520786794126E-11
8.255319148936163E-5      9.747624300702689E-11
8.297872340425526E-5      9.726657051405495E-11
8.340425531914888E-5      9.705620751183111E-11
8.38297872340425E-5       9.684515400035534E-11
8.425531914893612E-5      9.663340997962769E-11
8.468085106382974E-5      9.642097544964816E-11
8.510638297872335E-5      9.620785041041668E-11
8.553191489361698E-5      9.599403486193332E-11
8.59574468085106E-5       9.577954436508031E-11
8.638297872340422E-5      9.556439612981484E-11
8.680851063829783E-5      9.534859015613685E-11
8.723404255319144E-5      9.51321264440464E-11
8.765957446808508E-5      9.491500499354347E-11
8.808510638297869E-5      9.469722580462804E-11
8.85106382978723E-5       9.447878887730014E-11
8.893617021276592E-5      9.425970993797966E-11
8.936170212765952E-5      9.404000627016612E-11
8.978723404255313E-5      9.381967787385948E-11
9.021276595744674E-5      9.359872474905977E-11
9.063829787234035E-5      9.3377146895767E-11
9.106382978723398E-5      9.315494431398115E-11
9.148936170212759E-5      9.293211700370221E-11
9.191489361702122E-5      9.270868084009856E-11
9.234042553191483E-5      9.248465316718131E-11
9.276595744680844E-5      9.226003398495044E-11
9.319148936170208E-5      9.203482329340597E-11
9.361702127659569E-5      9.180902109254791E-11
9.40425531914893E-5       9.158262738237623E-11
9.446808510638292E-5      9.135564216289095E-11
9.489361702127655E-5      9.112808144198802E-11
9.531914893617015E-5      9.089996261171408E-11
9.574468085106377E-5      9.067128567206911E-11
9.617021276595738E-5      9.044205062305312E-11
9.6595744680851E-5        9.021225746466612E-11
9.702127659574462E-5      8.998190619690808E-11
9.744680851063823E-5      8.975099681977905E-11
9.787234042553185E-5      8.951954545860243E-11
9.829787234042548E-5      8.928756954150673E-11
9.872340425531908E-5      8.905506906849188E-11
9.914893617021271E-5      8.882204403955791E-11
9.957446808510633E-5      8.858849445470485E-11
9.999999999999995E-5      8.835442031393265E-11
1.0042553191489358E-4     8.811982161724134E-11
1.008510638297872E-4      8.788471459276444E-11
1.012765957446808E-4      8.764911669324765E-11
1.0170212765957441E-4     8.741302791869091E-11
1.0212765957446803E-4     8.717644826909426E-11
1.0255319148936166E-4     8.693937774445771E-11
1.0297872340425527E-4     8.670181634478119E-11
1.0340425531914888E-4     8.646376407006479E-11
1.038297872340425E-4      8.622523723727375E-11
1.0425531914893612E-4     8.598625331277313E-11
1.0468085106382971E-4     8.574681229656288E-11
1.0510638297872335E-4     8.550691418864304E-11
1.0553191489361695E-4     8.526655898901361E-11
1.0595744680851058E-4     8.502574669767454E-11
1.0638297872340419E-4     8.47844773146259E-11
1.068085106382978E-4      8.4542767232286E-11
1.0723404255319141E-4     8.430063392008422E-11
1.0765957446808503E-4     8.405807737802054E-11
1.0808510638297865E-4     8.381509760609495E-11
1.0851063829787227E-4     8.357169460430751E-11
1.0893617021276588E-4     8.332786837265812E-11
1.093617021276595E-4      8.308361891114687E-11
1.0978723404255313E-4     8.283896267483461E-11
1.1021276595744674E-4     8.259391712607569E-11
1.1063829787234035E-4     8.234848226487009E-11
1.1106382978723399E-4     8.210265809121782E-11
1.114893617021276E-4      8.185644460511892E-11
1.1191489361702123E-4     8.160984180657332E-11
1.1234042553191484E-4     8.136284969558105E-11
1.1276595744680846E-4     8.111548477757308E-11
1.1319148936170207E-4     8.086776449808111E-11
1.1361702127659569E-4     8.06196888571051E-11
1.140425531914893E-4      8.037125785464506E-11
1.1446808510638292E-4     8.012247149070103E-11
1.1489361702127652E-4     7.987332976527294E-11
1.1531914893617014E-4     7.962383267836084E-11
1.1574468085106377E-4     7.937399677399716E-11
1.1617021276595738E-4     7.912383947151795E-11
1.1659574468085099E-4     7.887336077092316E-11
1.1702127659574462E-4     7.862256067221284E-11
1.1744680851063824E-4     7.837143917538697E-11
1.1787234042553185E-4     7.811999628044553E-11
1.1829787234042546E-4     7.786823198738854E-11
1.1872340425531909E-4     7.761616286755699E-11
1.191489361702127E-4      7.736380630507108E-11
1.1957446808510631E-4     7.711116229993082E-11
1.1999999999999994E-4     7.685823085213622E-11
1.2042553191489355E-4     7.660501196168729E-11
1.2085106382978716E-4     7.635150562858399E-11
1.2127659574468078E-4     7.609771185282637E-11
1.2170212765957441E-4     7.584364722222454E-11
1.2212765957446802E-4     7.558932907699184E-11
1.2255319148936163E-4     7.533475741712827E-11
1.2297872340425524E-4     7.507993224263385E-11
1.2340425531914888E-4     7.482485355350859E-11
1.238297872340425E-4      7.456952134975242E-11
1.242553191489361E-4      7.431393563136542E-11
1.246808510638297E-4      7.4058112992213E-11
1.2510638297872332E-4     7.380207072022449E-11
1.2553191489361694E-4     7.354580881539985E-11
1.2595744680851055E-4     7.328932727773909E-11
1.2638297872340416E-4     7.303262610724224E-11
1.268085106382978E-4      7.277570530390926E-11
1.272340425531914E-4      7.251856486774018E-11
1.2765957446808505E-4     7.226122138864191E-11
1.2808510638297863E-4     7.200369209417968E-11
1.2851063829787224E-4     7.174597698435347E-11
1.2893617021276588E-4     7.14880760591633E-11
1.293617021276595E-4      7.122998931860917E-11
1.297872340425531E-4      7.097171676269105E-11
1.302127659574467E-4      7.071325839140898E-11
1.3063829787234032E-4     7.045463078107743E-11
1.3106382978723396E-4     7.019585109109465E-11
1.3148936170212755E-4     6.993691932146067E-11
1.3191489361702118E-4     6.967783547217547E-11
1.3234042553191482E-4     6.941859954323908E-11
1.3276595744680843E-4     6.915921153465146E-11
1.3319148936170205E-4     6.889967144641263E-11
1.3361702127659568E-4     6.863999583197065E-11
1.340425531914893E-4      6.838020177501415E-11
1.344680851063829E-4      6.812028927554313E-11
1.3489361702127652E-4     6.786025833355756E-11
1.3531914893617016E-4     6.760010894905751E-11
1.3574468085106377E-4     6.73398411220429E-11
1.3617021276595738E-4     6.707945485251378E-11
1.36595744680851E-4       6.681896666211405E-11
1.370212765957446E-4      6.655839355152825E-11
1.374468085106382E-4      6.629773552075637E-11
1.3787234042553182E-4     6.603699256979838E-11
1.3829787234042546E-4     6.577616469865437E-11
1.3872340425531907E-4     6.551525190732424E-11
1.3914893617021268E-4     6.525425419580806E-11
1.395744680851063E-4      6.499318804532484E-11
1.399999999999999E-4      6.47320703664929E-11
1.4042553191489352E-4     6.447090115931223E-11
1.4085106382978716E-4     6.420968042378279E-11
1.4127659574468077E-4     6.394840815990467E-11
1.4170212765957438E-4     6.368708436767779E-11
1.42127659574468E-4       6.342570904710216E-11
1.4255319148936163E-4     6.316429863065357E-11
1.429787234042552E-4      6.290286993203706E-11
1.4340425531914882E-4     6.26414229512526E-11
1.4382978723404246E-4     6.237995768830022E-11
1.4425531914893607E-4     6.211847414317994E-11
1.446808510638297E-4      6.185697231589168E-11
1.4510638297872332E-4     6.159545220643552E-11
1.4553191489361696E-4     6.133393019050762E-11
1.4595744680851054E-4     6.107242297825767E-11
1.4638297872340416E-4     6.08109305696857E-11
1.468085106382978E-4      6.054945296479165E-11
1.472340425531914E-4      6.028799016357561E-11
1.4765957446808502E-4     6.002654216603748E-11
1.4808510638297863E-4     5.976510897217732E-11
1.4851063829787224E-4     5.950370689313921E-11
1.4893617021276588E-4     5.924235252906908E-11
1.493617021276595E-4      5.89810458799669E-11
1.497872340425531E-4      5.871978694583266E-11
1.5021276595744674E-4     5.84585757266664E-11
1.5063829787234035E-4     5.8197412222468076E-11
1.5106382978723396E-4     5.793629643323773E-11
1.5148936170212757E-4     5.767524459804622E-11
1.519148936170212E-4      5.741427320076555E-11
1.523404255319148E-4      5.7153382241395716E-11
1.5276595744680843E-4     5.689257171993671E-11
1.5319148936170204E-4     5.663184163638856E-11
1.5361702127659563E-4     5.637119199075122E-11
1.5404255319148927E-4     5.611062278302473E-11
1.5446808510638288E-4     5.585015017292168E-11
1.548936170212765E-4      5.55897905219384E-11
1.553191489361701E-4      5.532954383007486E-11
1.557446808510637E-4      5.506941009733109E-11
1.5617021276595732E-4     5.480938932370708E-11
1.5659574468085093E-4     5.454948150920281E-11
1.5702127659574457E-4     5.4289686653818304E-11
1.574468085106382E-4      5.403002083084258E-11
1.578723404255318E-4      5.3770500273454824E-11
1.5829787234042543E-4     5.3511124981655035E-11
1.5872340425531904E-4     5.3251894955443224E-11
1.5914893617021266E-4     5.2992810194819396E-11
1.595744680851063E-4      5.273387069978352E-11
1.599999999999999E-4      5.247507647033563E-11
1.6042553191489354E-4     5.221644348648275E-11
1.6085106382978715E-4     5.1957987847294965E-11
1.6127659574468077E-4     5.169970955277226E-11
1.6170212765957438E-4     5.144160860291463E-11
1.62127659574468E-4       5.118368499772211E-11
1.6255319148936163E-4     5.092593873719466E-11
1.6297872340425524E-4     5.0668369821332303E-11
1.6340425531914885E-4     5.041099413019898E-11
1.6382978723404246E-4     5.0153827623102316E-11
1.642553191489361E-4      4.98968703000423E-11
1.646808510638297E-4      4.964012216101895E-11
1.6510638297872332E-4     4.938358320603227E-11
1.6553191489361693E-4     4.9127253435082236E-11
1.6595744680851054E-4     4.887113284816886E-11
1.6638297872340415E-4     4.861523721893484E-11
1.668085106382978E-4      4.83595823614058E-11
1.6723404255319138E-4     4.810416827558175E-11
1.6765957446808501E-4     4.784899496146269E-11
1.6808510638297863E-4     4.7594062419048645E-11
1.6851063829787224E-4     4.7339370648339576E-11
1.6893617021276588E-4     4.708491964933549E-11
1.693617021276595E-4      4.6830725082950725E-11
1.697872340425531E-4      4.6576802612536043E-11
1.702127659574467E-4      4.632315223809142E-11
1.7063829787234032E-4     4.606977395961689E-11
1.7106382978723396E-4     4.581666777711245E-11
1.7148936170212757E-4     4.556383369057806E-11
1.7191489361702118E-4     4.531127170001377E-11
1.7234042553191482E-4     4.505899734746238E-11
1.7276595744680843E-4     4.48070261403246E-11
1.7319148936170204E-4     4.455535807860042E-11
1.7361702127659565E-4     4.430399316228985E-11
1.7404255319148926E-4     4.405293139139289E-11
1.744680851063829E-4      4.380217276590954E-11
1.7489361702127651E-4     4.355171728583979E-11
1.7531914893617015E-4     4.3301580368365915E-11
1.7574468085106374E-4     4.3051777359776786E-11
1.7617021276595735E-4     4.2802308260072394E-11
1.7659574468085099E-4     4.2553173069252744E-11
1.770212765957446E-4      4.2304371787317843E-11
1.774468085106382E-4      4.205590441426767E-11
1.7787234042553182E-4     4.180777095010226E-11
1.7829787234042543E-4     4.155998668129758E-11
1.7872340425531904E-4     4.131256678797939E-11
1.7914893617021265E-4     4.106551127014767E-11
1.795744680851063E-4      4.081882012780243E-11
1.7999999999999993E-4     4.057249336094367E-11
1.8042553191489351E-4     4.0326530969571384E-11
1.8085106382978715E-4     4.0080932953685583E-11
1.8127659574468076E-4     3.9835714463347465E-11
1.8170212765957437E-4     3.959089050757313E-11
1.8212765957446799E-4     3.9346461086362565E-11
1.825531914893616E-4      3.910242619971577E-11
1.829787234042552E-4      3.885878584763277E-11
1.8340425531914882E-4     3.861554003011353E-11
1.8382978723404243E-4     3.8372688747158074E-11
1.8425531914893607E-4     3.813024700683619E-11
1.8468085106382968E-4     3.788822964220869E-11
1.851063829787233E-4      3.7646636653275567E-11
1.8553191489361693E-4     3.7405468040036825E-11
1.8595744680851054E-4     3.7164723802492473E-11
1.8638297872340418E-4     3.6924403940642485E-11
1.868085106382978E-4      3.668450845448689E-11
1.8723404255319143E-4     3.6445052204651225E-11
1.8765957446808504E-4     3.620604984349614E-11
1.8808510638297862E-4     3.5967501371021626E-11
1.8851063829787226E-4     3.572940678722768E-11
1.8893617021276585E-4     3.5491766092114326E-11
1.8936170212765949E-4     3.525457928568154E-11
1.897872340425531E-4      3.501784636792933E-11
1.9021276595744673E-4     3.478158204670442E-11
1.9063829787234032E-4     3.4545800789021716E-11
1.9106382978723393E-4     3.431050259488122E-11
1.9148936170212757E-4     3.407568746428292E-11
1.9191489361702115E-4     3.3841355397226835E-11
1.923404255319148E-4      3.3607506393712945E-11
1.927659574468084E-4      3.337414045374127E-11
