% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 14:30
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
0                         -3.881028825863691E-12
4.2016806722688943E-7     -3.8808395924457396E-12
8.403361344537784E-7      -3.880274637963716E-12
1.260504201680668E-6      -3.879333962417619E-12
1.6806722689075569E-6     -3.878017565807451E-12
2.1008403361344462E-6     -3.876325448133211E-12
2.521008403361336E-6      -3.8742576093948984E-12
2.941176470588225E-6      -3.871814049592515E-12
3.361344537815116E-6      -3.868993265360674E-12
3.781512605042006E-6      -3.86579835938801E-12
4.2016806722688975E-6     -3.862229331674525E-12
4.621848739495788E-6      -3.858286182220219E-12
5.0420168067226796E-6     -3.85396891102509E-12
5.46218487394957E-6       -3.84927751808914E-12
5.882352941176461E-6      -3.844212003412368E-12
6.302521008403353E-6      -3.838771539938558E-12
6.722689075630246E-6      -3.832960107852595E-12
7.1428571428571385E-6     -3.8267777071544764E-12
7.563025210084031E-6      -3.8202243378442074E-12
7.983193277310924E-6      -3.8132999999217825E-12
8.403361344537817E-6      -3.806004693387205E-12
8.823529411764708E-6      -3.798338418240473E-12
9.2436974789916E-6        -3.790301155929575E-12
9.66386554621849E-6       -3.781897626580105E-12
1.0084033613445381E-5     -3.773127830192063E-12
1.0504201680672271E-5     -3.763991766765451E-12
1.0924369747899162E-5     -3.754489436300265E-12
1.1344537815126054E-5     -3.744620838796509E-12
1.1764705882352944E-5     -3.73438597425418E-12
1.2184873949579835E-5     -3.72378563302924E-12
1.2605042016806726E-5     -3.712825260111227E-12
1.3025210084033616E-5     -3.701504855500138E-12
1.3445378151260506E-5     -3.689824419195977E-12
1.3865546218487399E-5     -3.6777839511987406E-12
1.4285714285714289E-5     -3.66538345150843E-12
1.470588235294118E-5      -3.652622920125045E-12
1.5126050420168068E-5     -3.639503940897534E-12
1.5546218487394955E-5     -3.626032668973333E-12
1.5966386554621844E-5     -3.6122091043524405E-12
1.638655462184873E-5      -3.5980332470348576E-12
1.6806722689075617E-5     -3.5835050970205842E-12
1.7226890756302507E-5     -3.5686246543096203E-12
1.7647058823529393E-5     -3.553391918901965E-12
1.8067226890756286E-5     -3.53780925508957E-12
1.8487394957983176E-5     -3.521883504615354E-12
1.8907563025210073E-5     -3.505614667479315E-12
1.9327731092436962E-5     -3.4890027436814562E-12
1.974789915966386E-5      -3.4720477332217765E-12
2.0168067226890752E-5     -3.454749636100274E-12
2.0588235294117642E-5     -3.4371084523169515E-12
2.1008403361344535E-5     -3.4191273123232688E-12
2.1428571428571425E-5     -3.400813715679529E-12
2.1848739495798315E-5     -3.38216766238573E-12
2.2268907563025204E-5     -3.3631891524418746E-12
2.2689075630252094E-5     -3.3438781858479606E-12
2.3109243697478987E-5     -3.324234762603989E-12
2.3529411764705877E-5     -3.30425888270996E-12
2.394957983193277E-5      -3.283954425539831E-12
2.436974789915966E-5      -3.263329516116311E-12
2.478991596638655E-5      -3.2423841544393965E-12
2.521008403361344E-5      -3.22111834050909E-12
2.5630252100840332E-5     -3.1995320743253908E-12
2.6050420168067226E-5     -3.1776253558882987E-12
2.6470588235294115E-5     -3.155398185197814E-12
2.6890756302521005E-5     -3.1328551699540675E-12
2.7310924369747895E-5     -3.1100050252701334E-12
2.7731092436974788E-5     -3.0868477511460093E-12
2.8151260504201674E-5     -3.0633833475816976E-12
