% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 12:36
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(p)
0                         NaN
1.6835192320072636E-7     -0.022068389262381242
3.367038464014527E-7      -0.02206927226096952
5.050557696021791E-7      -0.022067179010256052
6.734076928029054E-7      -0.02206210951022258
8.417596160036319E-7      -0.022054063760877745
1.0101115392043582E-6     -0.022049972837855952
1.1801802473622774E-6     -0.02205488474948862
1.3502489555201964E-6     -0.0220537031847023
1.5203176636781154E-6     -0.022053359219169892
1.6903863718360344E-6     -0.022053852852885657
1.8604550799939534E-6     -0.022055184085838838
2.0305237881518723E-6     -0.02205845309842657
2.200592664946635E-6      -0.022049826925160734
2.370661541741397E-6      -0.02204284016867714
2.5407304185361593E-6     -0.022038593009358485
2.710799295330922E-6      -0.022037085447217115
2.880868172125684E-6      -0.022038317482251168
3.0509370489204466E-6     -0.022043904210068202
3.2210059257152087E-6     -0.022032953291231533
3.3910748025099717E-6     -0.0220237345082303
3.5611436793047335E-6     -0.022017862956699642
3.731212556099496E-6      -0.022015338636634317
3.901281432894258E-6      -0.02201616154803651
4.07135030968902E-6       -0.02202139516238788
4.2414191864837825E-6     -0.022007544131279637
4.411488063278545E-6      -0.021996513785774777
4.581556940073307E-6      -0.0219893675973633
4.751625816868069E-6      -0.021986105566051597
4.921694693662831E-6      -0.021986727691836926
5.091763570457593E-6      -0.021992093374258864
5.261832447252356E-6      -0.021975777346313674
5.4319013240471185E-6     -0.021962980341087457
5.601970200841881E-6      -0.02195456175812798
5.772039077636643E-6      -0.021950521597448022
5.942107954431407E-6      -0.02195085985903481
6.112176831226169E-6      -0.021956292909147135
6.282245708020931E-6      -0.021937696180630475
6.452314584815693E-6      -0.021923177598635823
6.622383461610455E-6      -0.0219134535294165
6.7924523384052175E-6     -0.02190852397297342
6.96252121519998E-6       -0.02190838892930612
7.132590091994742E-6      -0.02191361925011076
7.302658968789505E-6      -0.02189287644587693
7.472727845584267E-6      -0.02187671239764383
7.642796722379028E-6      -0.0218656979571327
7.812865599173792E-6      -0.02185983312434263
7.982934475968554E-6      -0.021859117899271793
8.153003352763316E-6      -0.021863959878211353
8.323072229558079E-6      -0.02184117596960035
8.493141106352842E-6      -0.02182342890560411
8.663209983147605E-6      -0.021811126282511063
8.833278859942367E-6      -0.021804268100330336
9.003347736737129E-6      -0.021802854359054626
9.173416613531891E-6      -0.021807180008871267
9.343485490326653E-6      -0.021782579826071964
9.513554367121415E-6      -0.02176335177555806
9.683623243916178E-6      -0.021749790807531488
9.853692120710938E-6      -0.021741896921983122
1.00237609975057E-5       -0.02173967011892117
1.0193829874300462E-5     -0.021743337003621258
1.0363898751095225E-5     -0.021717150594851867
1.0533967627889988E-5     -0.021696556429219194
1.070403650468475E-5      -0.021681781112034434
1.0874105381479513E-5     -0.021672824643281165
1.1044174258274277E-5     -0.021669687022968516
1.1214243135069039E-5     -0.021672544254006287
1.1384312011863803E-5     -0.021644955366716012
1.1554380888658565E-5     -0.02162309787205129
1.1724449765453327E-5     -0.0216071477729347
1.1894518642248089E-5     -0.02159710506936716
1.2064587519042851E-5     -0.02159296976133635
1.2234656395837613E-5     -0.02159487751796193
1.2404725272632376E-5     -0.02156604145723847
1.257479414942714E-5      -0.021543009652744523
1.27448630262219E-5       -0.02152591777360933
1.2914931903016664E-5     -0.02151476581980826
1.3085000779811424E-5     -0.021509553791351808
1.3255069656606186E-5     -0.021510392011983785
1.3425138533400948E-5     -0.021480455464594234
1.3595207410195712E-5     -0.02145633139655949
1.3765276286990473E-5     -0.02143813013164117
1.3935345163785237E-5     -0.02142585166982194
1.4105414040579997E-5     -0.021419496011100887
1.427548291737476E-5      -0.02141916034883986
1.4445551794169521E-5     -0.021388255809975328
1.4615620670964285E-5     -0.021363115755222394
1.4785689547759046E-5     -0.021343837377937422
1.495575842455381E-5      -0.02133042067811129
1.5125827301348572E-5     -0.021322865655749472
1.5295896178143334E-5     -0.021321263377743115
1.5465965054938098E-5     -0.021289501158582042
1.5636033931732858E-5     -0.02126341305121404
1.580610280852762E-5      -0.021243090122530266
1.5976171685322383E-5     -0.021228532372511558
1.6146240562117146E-5     -0.021219739801176616
1.6316309438911907E-5     -0.021216800726638587
1.648637831570667E-5      -0.021184255457372334
1.665644719250143E-5      -0.021157267404783138
1.6826516069296195E-5     -0.021135924887019278
1.6996584946090956E-5     -0.021120227904062497
1.716665382288572E-5      -0.02111017645591189
1.733672269968048E-5      -0.02110586776168503
1.7506791576475244E-5     -0.021072588622433632
1.7676860453270008E-5     -0.021044731939191492
1.7846929330064768E-5     -0.021022394931067064
1.8016998206859532E-5     -0.0210055775980494
1.8187067083654292E-5     -0.0209942799401458
1.8357135960449056E-5     -0.020988581809339886
1.852720483724382E-5      -0.020954531067357337
1.8697273714038584E-5     -0.020925805947738088
1.8867342590833344E-5     -0.020902486302467584
1.9037411467628108E-5     -0.02088457213155313
1.9207480344422872E-5     -0.020872063434991987
1.9377549221217633E-5     -0.020865036845299466
1.9547618098012396E-5     -0.02083018710062274
1.9717686974807157E-5     -0.02080057209780775
1.9887755851601917E-5     -0.020776268469400838
2.005782472839668E-5      -0.020757276215376454
2.0227893605191438E-5     -0.0207435953357501
2.0397962481986202E-5     -0.020735303344347603
2.0568031358780966E-5     -0.02069963016060104
2.073810023557573E-5      -0.020669111378689164
2.090816911237049E-5      -0.02064382451245149
2.1078237989165254E-5     -0.020623769561872507
2.1248306865960018E-5     -0.02060894652695769
2.141837574275478E-5      -0.020599439047782303
2.1588444619549542E-5     -0.020562936882237325
2.1758513496344303E-5     -0.020531511280681224
2.1928582373139063E-5     -0.020505245883204775
2.2098651249933827E-5     -0.020484140689781518
2.2268720126728584E-5     -0.02046819570043472
2.2438789003523348E-5     -0.020457508069973353
2.2608857880318112E-5     -0.0204201860870613
2.2778926757112876E-5     -0.020387859836458678
2.2948995633907636E-5     -0.020360626472993165
2.3119064510702397E-5     -0.020338485996649253
2.3289133387497164E-5     -0.020321438407440627
2.3459202264291924E-5     -0.020309594557107374
2.3629271141086688E-5     -0.020271451330116128
2.379934001788145E-5      -0.020238227886665155
2.396940889467621E-5      -0.02021003507851917
2.4139477771470973E-5     -0.02018687290565446
2.4309546648265737E-5     -0.020168741368077406
2.4479615525060497E-5     -0.02015576671970767
2.464968440185526E-5      -0.020116808843680924
2.481975327865002E-5      -0.02008269548651106
2.4989822155444785E-5     -0.0200535529021232
2.515989103223955E-5      -0.020029381090528306
2.532995990903431E-5      -0.020010180051704473
2.5500028785829074E-5     -0.019996086387877535
2.5670097662623834E-5     -0.019956323996655152
2.5840166539418598E-5     -0.019921335810798826
