% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:49
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(xi)
0                         -8.32192065793425E-11
4.2780521530280657E-7     -8.321885094135508E-11
8.556104306056131E-7      -8.321778209089802E-11
1.2834156459084197E-6     -8.32160000279713E-11
1.7112208612112263E-6     -8.321350475257493E-11
2.139026076514033E-6      -8.321029626470892E-11
2.5668312918168394E-6     -8.320637456437321E-11
2.994636507119646E-6      -8.320173965156789E-11
3.4224417224224526E-6     -8.319638982764271E-11
3.85024693772526E-6       -8.319032592120596E-11
4.278052153028066E-6      -8.318354793225765E-11
4.705857368330872E-6      -8.31760558607978E-11
5.133662583633679E-6      -8.31678497068264E-11
5.561467798936486E-6      -8.315892947034341E-11
5.989273014239292E-6      -8.314929515134889E-11
6.410088963256641E-6      -8.31391218381799E-11
6.830904912273991E-6      -8.312825740191643E-11
7.25172086129134E-6       -8.311670184255848E-11
7.672536810308689E-6      -8.310445516010606E-11
8.09335275932604E-6       -8.309151735455919E-11
8.514168708343389E-6      -8.307788842591781E-11
8.934984657360738E-6      -8.306356837418196E-11
9.335662524497946E-6      -8.304929068840393E-11
9.736340391635153E-6      -8.30343869521388E-11
1.0137018258772359E-5     -8.301885716538659E-11
1.0537696125909567E-5     -8.300270132814729E-11
1.0938373993046773E-5     -8.298591944042091E-11
1.1339051860183981E-5     -8.296851150220743E-11
1.1739729727321188E-5     -8.295047751350685E-11
1.2124875559851212E-5     -8.293255235905522E-11
1.2510021392381236E-5     -8.291405030903578E-11
1.289516722491126E-5      -8.289497136344853E-11
1.3280313057441285E-5     -8.287531552229349E-11
1.366545888997131E-5      -8.285508278557067E-11
1.4050604722501333E-5     -8.283427315328E-11
1.4435750555031359E-5     -8.281288662542156E-11
1.481289903671961E-5      -8.27913842812366E-11
1.519004751840786E-5      -8.276933311224023E-11
1.5567196000096113E-5     -8.274673311843243E-11
1.5944344481784364E-5     -8.27235842998132E-11
1.6321492963472616E-5     -8.269988665638257E-11
1.6698641445160864E-5     -8.26756401881405E-11
1.7075789926849116E-5     -8.265084489508701E-11
1.7433901167700504E-5     -8.262679254216712E-11
1.779201240855189E-5      -8.260226013949661E-11
1.8150123649403275E-5     -8.257724768707551E-11
1.850823489025466E-5      -8.255175518490379E-11
1.886634613110605E-5      -8.252578263298151E-11
1.9224457371957433E-5     -8.249933003130859E-11
1.958256861280882E-5      -8.24723973798851E-11
1.9940481295372828E-5     -8.244501270922762E-11
2.0298393977936837E-5     -8.241718188446613E-11
2.0656306660500846E-5     -8.238890490560063E-11
2.1014219343064855E-5     -8.236018177263114E-11
2.137213202562886E-5      -8.233101248555763E-11
2.173004470819287E-5      -8.230139704438009E-11
2.208795739075688E-5      -8.227133544909856E-11
2.245944263531065E-5      -8.223968250957639E-11
2.283092787986442E-5      -8.220758236502098E-11
2.3202413124418192E-5     -8.217503501543231E-11
2.3573898368971962E-5     -8.214204046081042E-11
2.3945383613525733E-5     -8.21085987011553E-11
2.4316868858079504E-5     -8.20747097364669E-11
2.4688354102633274E-5     -8.20403735667453E-11
2.5091993018119224E-5     -8.200257471951846E-11
2.549563193360517E-5      -8.196427848262279E-11
2.5899270849091118E-5     -8.192548485605829E-11
2.6302909764577068E-5     -8.188619383982494E-11
2.6706548680063018E-5     -8.18464054339228E-11
2.7110187595548965E-5     -8.180611963835179E-11
2.7513826511034915E-5     -8.176533645311198E-11
2.793795334649159E-5      -8.172196287949754E-11
2.8362080181948263E-5     -8.167806974140143E-11
2.8786207017404936E-5     -8.163365703882365E-11
2.9210333852861612E-5     -8.158872477176418E-11
2.9634460688318288E-5     -8.154327294022308E-11
3.005858752377496E-5      -8.149730154420028E-11
3.0482714359231637E-5     -8.145081058369581E-11
3.0910519574534446E-5     -8.140340524970424E-11
3.133832478983725E-5      -8.135549797302316E-11
3.176613000514005E-5      -8.130708875365258E-11
3.219393522044286E-5      -8.125817759159252E-11
3.262174043574567E-5      -8.120876448684295E-11
3.304954565104847E-5      -8.115884943940387E-11
3.347735086635128E-5      -8.110843244927531E-11
3.3905156081654086E-5     -8.105752683729292E-11
3.4332961296956895E-5     -8.100614264749657E-11
3.47607665122597E-5       -8.095427987988623E-11
3.518857172756251E-5      -8.090193853446196E-11
3.5616376942865314E-5     -8.084911861122373E-11
3.604418215816812E-5      -8.07958201101715E-11
3.647198737347093E-5      -8.074204303130534E-11
3.689979258877374E-5      -8.068779901943304E-11
3.732759780407654E-5      -8.063309717239912E-11
3.775540301937935E-5      -8.057793749020359E-11
3.818320823468215E-5      -8.052231997284647E-11
3.861101344998497E-5      -8.046624462032776E-11
3.903881866528777E-5      -8.040971143264744E-11
3.946662388059058E-5      -8.035272040980551E-11
3.989442909589339E-5      -8.02952819264467E-11
4.032223431119619E-5      -8.023740426392566E-11
4.075003952649899E-5      -8.017908742224235E-11
4.117784474180181E-5      -8.012033140139683E-11
4.160564995710461E-5      -8.006113620138909E-11
4.203345517240741E-5      -8.000150182221907E-11
4.246126038771022E-5      -7.994142826388684E-11
4.288906560301303E-5      -7.98809248620021E-11
4.331687081831583E-5      -7.981999922439357E-11
4.374467603361863E-5      -7.975865135106128E-11
4.417248124892144E-5      -7.969688124200518E-11
4.460028646422425E-5      -7.963468889722532E-11
4.502809167952706E-5      -7.957207431672165E-11
4.545589689482986E-5      -7.950903750049424E-11
4.588370211013267E-5      -7.944558693898036E-11
4.631150732543547E-5      -7.938172965495365E-11
4.673931254073827E-5      -7.931746564841406E-11
4.716711775604109E-5      -7.925279491936163E-11
4.759492297134389E-5      -7.918771746779636E-11
4.80227281866467E-5       -7.912223329371821E-11
4.845053340194951E-5      -7.905634239712722E-11
4.8878338617252316E-5     -7.899005255541087E-11
4.9306143832555124E-5     -7.892337028319104E-11
4.9733949047857926E-5     -7.885629558046774E-11
5.0161754263160735E-5     -7.878882844724097E-11
5.0589559478463544E-5     -7.872096888351072E-11
5.1017364693766346E-5     -7.865271688927701E-11
5.1445169909069154E-5     -7.85840724645398E-11
5.187297512437196E-5      -7.851504277701319E-11
5.230078033967478E-5      -7.844563389432359E-11
5.272858555497758E-5      -7.837584581647097E-11
5.315639077028039E-5      -7.830567854345535E-11
5.35841959855832E-5       -7.823513207527673E-11
5.4012001200886006E-5     -7.816420641193507E-11
5.4439806416188815E-5     -7.809290155343044E-11
5.4867611631491624E-5     -7.802122413898192E-11
5.529541684679443E-5      -7.794917983921195E-11
5.5723222062097234E-5     -7.787676865412048E-11
5.6151027277400036E-5     -7.780399058370754E-11
5.657883249270284E-5      -7.773084562797314E-11
5.7006637708005654E-5     -7.765733378691725E-11
5.7434442923308456E-5     -7.758345506053988E-11
5.786224813861127E-5      -7.750921562457763E-11
5.829005335391407E-5      -7.743462079399564E-11
5.8717858569216875E-5     -7.735967056879388E-11
5.914566378451969E-5      -7.728436494897236E-11
5.957346899982249E-5      -7.720870393453112E-11
6.00012742151253E-5       -7.71326875254701E-11
6.042907943042811E-5      -7.705631572178933E-11
6.085688464573092E-5      -7.697959428859987E-11
6.128468986103373E-5      -7.690252821976894E-11
6.171249507633653E-5      -7.682511751529658E-11
6.214030029163933E-5      -7.674736217518276E-11
6.256810550694215E-5      -7.666926219942751E-11
6.299591072224495E-5      -7.65908175880308E-11
6.342371593754775E-5      -7.651202834099264E-11
6.385152115285055E-5      -7.643289985633206E-11
6.427932636815337E-5      -7.635343683602112E-11
6.470713158345617E-5      -7.627363928005982E-11
6.513493679875897E-5      -7.61935071884481E-11
6.556274201406177E-5      -7.611304056118607E-11
6.599054722936459E-5      -7.603223939827364E-11
6.641835244466739E-5      -7.595110369971086E-11
6.68461576599702E-5       -7.586963853271249E-11
6.727396287527301E-5      -7.578784833228819E-11
6.770176809057582E-5      -7.570573309843797E-11
6.812957330587863E-5      -7.562329283116184E-11
6.855737852118144E-5      -7.554052753045982E-11
6.898518373648426E-5      -7.545743719633187E-11
6.941298895178706E-5      -7.5374021828778E-11
6.984079416708987E-5      -7.529028619480026E-11
7.026859938239266E-5      -7.520623448394742E-11
7.069640459769546E-5      -7.512186669621953E-11
7.112420981299828E-5      -7.503718283161656E-11
7.15520150283011E-5       -7.495218289013853E-11
7.197982024360388E-5      -7.48668668717854E-11
7.24076254589067E-5       -7.478123477655722E-11
7.283543067420951E-5      -7.469529109731317E-11
7.326323588951232E-5      -7.46090397968546E-11
7.369104110481512E-5      -7.452248087518152E-11
7.411884632011793E-5      -7.443561433229391E-11
7.454665153542074E-5      -7.434844016819183E-11
7.497445675072354E-5      -7.426095838287521E-11
7.540226196602635E-5      -7.41731689763441E-11
7.583006718132917E-5      -7.408507618975908E-11
7.625787239663197E-5      -7.399668377559001E-11
7.668567761193477E-5      -7.39079917338369E-11
7.711348282723757E-5      -7.381900006449975E-11
7.754128804254038E-5      -7.372970876757855E-11
7.796909325784319E-5      -7.364011784307331E-11
7.8396898473146E-5        -7.355022729098402E-11
7.88247036884488E-5       -7.346004112027487E-11
7.925250890375161E-5      -7.336956288757264E-11
7.968031411905441E-5      -7.327879259287728E-11
8.010811933435721E-5      -7.318773023618886E-11
8.053592454966002E-5      -7.309637581750734E-11
8.096372976496282E-5      -7.300472933683272E-11
8.139153498026563E-5      -7.2912790794165E-11
8.181934019556845E-5      -7.282056398334918E-11
8.224714541087125E-5      -7.272805227800989E-11
8.267495062617405E-5      -7.263525567814711E-11
8.310275584147686E-5      -7.254217418376084E-11
8.353056105677967E-5      -7.244880779485113E-11
8.395836627208249E-5      -7.23551565114179E-11
8.438617148738529E-5      -7.226122033346121E-11
8.48139767026881E-5       -7.216700285474378E-11
8.52417819179909E-5       -7.207250727731253E-11
8.566958713329371E-5      -7.197773360116743E-11
8.609739234859652E-5      -7.188268182630848E-11
8.652519756389932E-5      -7.178735195273574E-11
8.695300277920214E-5      -7.169174398044911E-11
8.738080799450494E-5      -7.159585790944868E-11
8.780861320980776E-5      -7.149969714669534E-11
8.823641842511056E-5      -7.140326473291633E-11
8.866422364041336E-5      -7.130656066811166E-11
8.909202885571618E-5      -7.120958495228134E-11
8.951983407101899E-5      -7.11123375854254E-11
8.99476392863218E-5       -7.101481856754375E-11
9.037544450162461E-5      -7.091702789863648E-11
9.080324971692743E-5      -7.081896881061758E-11
9.123105493223023E-5      -7.072064419236042E-11
9.165886014753303E-5      -7.0622054043865E-11
9.208666536283583E-5      -7.05231983651313E-11
9.251447057813863E-5      -7.042407715615938E-11
9.294227579344145E-5      -7.032469041694915E-11
9.337008100874425E-5      -7.022503814750069E-11
