% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:31
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
0                         1.174857754350232E-10
4.0816326530612243E-7     1.1748511313925564E-10
8.163265306122445E-7      1.1748312771649846E-10
1.224489795918367E-6      1.174798191667515E-10
1.632653061224489E-6      1.1747518749001485E-10
2.0408163265306117E-6     1.1746923268628852E-10
2.448979591836734E-6      1.1746195475557247E-10
2.857142857142856E-6      1.1745335369786675E-10
3.265306122448978E-6      1.1744342964243928E-10
3.6734693877551007E-6     1.174321839127205E-10
4.0816326530612225E-6     1.1741961650871034E-10
4.489795918367345E-6      1.1740572743040894E-10
4.897959183673468E-6      1.1739051667781615E-10
5.30612244897959E-6       1.173739842509321E-10
5.714285714285712E-6      1.1735613014975668E-10
6.1224489795918346E-6     1.173369552759985E-10
6.530612244897958E-6      1.1731646166285132E-10
6.9387755102040806E-6     1.1729464931031508E-10
7.3469387755102015E-6     1.1727151821838983E-10
7.755102040816326E-6      1.1724706838707555E-10
8.163265306122448E-6      1.1722129981637227E-10
8.571428571428571E-6      1.1719421250627994E-10
8.979591836734694E-6      1.1716580795531532E-10
9.387755102040816E-6      1.1713608910489902E-10
9.795918367346939E-6      1.171050559550309E-10
1.020408163265306E-5      1.1707270850571109E-10
1.0612244897959184E-5     1.1703904675693956E-10
1.1020408163265308E-5     1.1700407070871622E-10
1.1428571428571429E-5     1.1696778036104117E-10
1.1836734693877552E-5     1.169301777231312E-10
1.2244897959183674E-5     1.1689126667134983E-10
1.2653061224489795E-5     1.1685104720569708E-10
1.3061224489795918E-5     1.1680951932617298E-10
1.346938775510204E-5      1.1676668303277753E-10
1.3877551020408165E-5     1.1672253832551068E-10
1.4285714285714285E-5     1.166770852043725E-10
1.4693877551020408E-5     1.1663032651682346E-10
1.510204081632653E-5      1.1658226675644595E-10
1.5510204081632655E-5     1.165329059232399E-10
1.5918367346938776E-5     1.1648224401720543E-10
1.63265306122449E-5       1.1643028103834244E-10
1.6734693877551024E-5     1.1637701698665095E-10
1.7142857142857145E-5     1.1632245186213096E-10
1.755102040816327E-5      1.1626658937832795E-10
1.795918367346939E-5      1.162094347288763E-10
1.8367346938775515E-5     1.1615098791377601E-10
1.8775510204081636E-5     1.1609124893302709E-10
1.9183673469387756E-5     1.1603021778662954E-10
1.959183673469388E-5      1.1596789447458336E-10
2.0E-5                    1.1590427899688855E-10
2.042553191489362E-5      1.1583658290070401E-10
2.0851063829787234E-5     1.157674943464009E-10
2.1276595744680852E-5     1.1569701333397914E-10
2.1702127659574467E-5     1.1562513986343877E-10
2.212765957446808E-5      1.155518739347798E-10
2.2553191489361703E-5     1.1547721554800217E-10
2.2978723404255317E-5     1.1540116470310596E-10
2.3404255319148935E-5     1.153237236700264E-10
2.382978723404255E-5      1.1524490364486967E-10
2.4255319148936165E-5     1.1516470462763574E-10
2.4680851063829783E-5     1.1508312661832467E-10
2.51063829787234E-5       1.1500016961693648E-10
2.5531914893617015E-5     1.1491583362347106E-10
2.5957446808510633E-5     1.1483011863792851E-10
