% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:50
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
0                         2.1476421380963626E-11
4.2780521530280657E-7     2.147639854969374E-11
8.556104306056131E-7      2.1476326909268774E-11
1.2834156459084197E-6     2.1476206459688727E-11
1.7112208612112263E-6     2.1476037200953597E-11
2.139026076514033E-6      2.1475819133063398E-11
2.5668312918168394E-6     2.147555225601811E-11
2.994636507119646E-6      2.1475236569817746E-11
3.4224417224224526E-6     2.1474869165265226E-11
3.85024693772526E-6       2.1474450220616334E-11
4.278052153028066E-6      2.1473979735871066E-11
4.705857368330872E-6      2.147345771102943E-11
5.133662583633679E-6      2.147288414609143E-11
5.561467798936486E-6      2.1472259041057048E-11
5.989273014239292E-6      2.14715823959263E-11
6.410088963256641E-6      2.147086571980753E-11
6.830904912273991E-6      2.1470096740097392E-11
7.25172086129134E-6       2.1469275456795878E-11
7.672536810308689E-6      2.1468401869902988E-11
8.09335275932604E-6       2.146747597941874E-11
8.514168708343389E-6      2.1466497785343108E-11
8.934984657360738E-6      2.1465467287676106E-11
9.335662524497946E-6      2.1464435867521717E-11
9.736340391635153E-6      2.1463354798556464E-11
1.0137018258772359E-5     2.1462224080780343E-11
1.0537696125909567E-5     2.146104371419336E-11
1.0938373993046773E-5     2.1459813698795517E-11
1.1339051860183981E-5     2.145853403458681E-11
1.1739729727321188E-5     2.1457204721567237E-11
1.2124875559851212E-5     2.1455879348746822E-11
1.2510021392381236E-5     2.145450581754418E-11
1.289516722491126E-5      2.1453084127959307E-11
1.3280313057441285E-5     2.1451614279992203E-11
1.366545888997131E-5      2.145009627364288E-11
1.4050604722501333E-5     2.1448530108911322E-11
1.4435750555031359E-5     2.1446915785797536E-11
1.481289903671961E-5      2.1445287461715666E-11
1.519004751840786E-5      2.144360912765428E-11
1.5567196000096113E-5     2.1441880783613383E-11
1.5944344481784364E-5     2.144010242959297E-11
1.6321492963472616E-5     2.1438274065593052E-11
1.6698641445160864E-5     2.1436395691613613E-11
1.7075789926849116E-5     2.1434467307654662E-11
1.7433901167700504E-5     2.1432589898915857E-11
1.779201240855189E-5      2.143065950491227E-11
1.8150123649403275E-5     2.1428676125643894E-11
1.850823489025466E-5      2.142663976111073E-11
1.886634613110605E-5      2.1424550411312792E-11
1.9224457371957433E-5     2.142240807625006E-11
1.958256861280882E-5      2.1420212755922546E-11
1.9940481295372828E-5     2.1417959251622843E-11
2.0298393977936837E-5     2.141563745897201E-11
2.0656306660500846E-5     2.1413247377970052E-11
2.1014219343064855E-5     2.1410789008616964E-11
2.137213202562886E-5      2.1408262350912755E-11
2.173004470819287E-5      2.140566740485741E-11
